geoID,tractCE,nameLSAD,countTested,pctElevated,totalPop,totalPop_MOE,white,white_MOE,black,black_MOE,povertyTot,povertyTot_MOE,povertyU18,povertyU18_MOE
29510106700,106700,Census Tract 1067,899,21.25,2960,558,2,4,2914,553,1278,501,369,257
29510102500,102500,Census Tract 1025,342,6.73,2028,199,1749,203,94,49,216,86,55,48
29510107400,107400,Census Tract 1074,940,20,2968,426,31,36,2937,428,1416,376,640,249
29510101100,101100,Census Tract 1011,352,4.55,2591,267,2113,257,143,128,240,128,92,76
29510107500,107500,Census Tract 1075,812,14.9,2420,358,29,35,2346,352,594,347,205,151
29510112100,112100,Census Tract 1121,322,4.35,4432,508,2846,371,1292,370,542,161,12,20
29510107600,107600,Census Tract 1076,623,13.32,2197,238,42,55,2150,248,751,182,165,75
29510116500,116500,Census Tract 1165,1084,14.39,4481,535,2091,411,1617,387,1158,372,267,203
29510101200,101200,Census Tract 1012,641,2.96,3275,253,3026,283,87,71,436,245,120,126
29510101300,101300,Census Tract 1013,728,6.18,4040,352,3364,306,404,273,260,146,0,11
29510111100,111100,Census Tract 1111,497,6.44,1814,307,54,44,1743,306,901,279,338,126
29510101400,101400,Census Tract 1014,638,9.09,2750,247,1705,233,697,191,572,222,223,111
29510101500,101500,Census Tract 1015,877,8.21,3771,570,2169,498,1340,389,1119,427,409,272
29510111200,111200,Census Tract 1112,401,13.97,1021,221,59,43,928,208,507,219,207,152
29510110300,110300,Census Tract 1103,694,16.57,1968,356,52,46,1916,371,513,194,151,90
29510111300,111300,Census Tract 1113,426,16.43,1348,213,4,6,1344,213,426,154,22,32
29510111400,111400,Census Tract 1114,538,19.52,1396,379,11,7,1357,381,549,328,287,279
29510111500,111500,Census Tract 1115,263,10.27,620,94,1,4,597,120,350,109,126,43
29510112200,112200,Census Tract 1122,506,16.01,1645,238,117,56,1528,241,612,209,225,146
29510115400,115400,Census Tract 1154,782,7.93,3185,390,1999,290,806,265,888,318,295,176
29510115500,115500,Census Tract 1155,1707,14.35,7069,832,3227,751,3543,690,2801,1049,877,402
29510115600,115600,Census Tract 1156,1531,12.67,4815,585,2164,436,2315,472,1759,511,729,342
29510119200,119200,Census Tract 1192,257,4.67,1746,233,606,205,1005,177,314,107,3,3
29510119300,119300,Census Tract 1193,163,6.75,4319,501,2320,440,1115,180,1317,265,65,53
29510120200,120200,Census Tract 1202,446,13.9,1370,232,169,117,1126,210,737,226,260,108
29510114200,114200,Census Tract 1142,891,2.47,4724,391,3713,515,522,243,664,370,259,194
29510114300,114300,Census Tract 1143,1324,3.85,5300,386,4674,370,163,144,234,137,58,65
29510115100,115100,Census Tract 1151,907,7.39,4226,444,3465,416,413,161,973,267,234,117
29510110400,110400,Census Tract 1104,824,22.45,2147,357,6,9,2115,365,626,358,227,188
29510110500,110500,Census Tract 1105,449,23.16,1013,155,5,6,995,151,367,146,128,75
29510110100,110100,Census Tract 1101,964,17.12,2879,387,39,45,2787,396,887,359,202,138
29510110200,110200,Census Tract 1102,784,19.52,2309,444,6,10,2281,443,949,333,387,226
29510112300,112300,Census Tract 1123,855,13.1,2038,409,23,26,1987,411,920,307,429,224
29510116100,116100,Census Tract 1161,852,9.39,3231,409,1638,252,839,248,756,269,231,133
29510116200,116200,Census Tract 1162,890,7.42,4267,365,2977,386,851,247,532,250,80,127
29510116400,116400,Census Tract 1164,1805,19.83,4913,616,1350,352,2871,496,1850,632,742,398
29510107300,107300,Census Tract 1073,1427,10.86,4675,492,72,71,4572,489,1362,343,336,186
29510118400,118400,Census Tract 1184,23,0,1557,317,949,275,418,88,267,70,0,11
29510118600,118600,Census Tract 1186,394,8.38,3822,414,2011,254,1331,361,914,250,103,88
29510113500,113500,Census Tract 1135,289,4.15,2231,164,2166,156,37,52,304,125,35,41
29510117100,117100,Census Tract 1171,188,7.45,1469,163,1052,138,264,104,158,65,0,11
29510115700,115700,Census Tract 1157,1390,17.55,3789,537,1792,401,1695,474,1714,583,813,385
29510121200,121200,Census Tract 1212,1142,4.2,2508,331,35,42,2446,336,1606,336,953,248
29510121100,121100,Census Tract 1211,368,3.53,1779,280,220,74,1503,281,889,253,179,138
29510115200,115200,Census Tract 1152,1003,10.57,3348,379,1484,259,1419,282,1084,388,473,269
29510108200,108200,Census Tract 1082,609,9.85,2504,358,82,57,2359,364,651,321,235,227
29510108300,108300,Census Tract 1083,689,9.58,1987,215,119,93,1848,227,501,160,153,89
29510112400,112400,Census Tract 1124,306,4.25,4132,336,2553,330,1077,284,656,214,37,48
29510115300,115300,Census Tract 1153,1659,8.8,5248,538,2810,331,1680,461,1133,394,459,205
29510117200,117200,Census Tract 1172,1314,7.69,5566,606,2719,389,2470,434,1326,531,407,301
29510102300,102300,Census Tract 1023,298,4.36,1987,218,1840,213,35,49,351,238,92,89
29510109700,109700,Census Tract 1097,1070,15.79,2239,357,274,184,1949,329,1212,331,493,211
29510102400,102400,Census Tract 1024,544,8.82,2673,205,2387,225,224,155,642,266,274,162
29510106200,106200,Census Tract 1062,1107,11.38,1825,325,9,20,1807,331,1176,341,606,239
29510109600,109600,Census Tract 1096,952,21.74,3222,555,45,40,3153,548,845,435,391,302
