tag,JD,launch_date,launch_year,type,variant,mission,agency,state_code,category,agency_type
1999-041,2451384.82,7/25/99,1999,Delta 7420-10C,,Globalstar M048,US,US,O,state
1999-043,2451407.69,8/17/99,1999,Delta 7420-10C,,Globalstar M024,US,US,O,state
1999-055,2451459.04,10/7/99,1999,Delta 7925-9.5,,Navstar GPS SVN 46,US,US,O,state
2000-008,2451583.39,2/8/00,2000,Delta 7420-10C,,Globalstar 63,US,US,O,state
1998-F03,2451052.55,8/27/98,1998,Delta 8930,,Galaxy X,US,US,F,state
1999-017,2451278.21,4/9/99,1999,Titan 402B/IUS,,DSP 19?,US,US,O,state
1999-023,2451299.19,4/30/99,1999,Titan 401B/Centaur,,Milstar DFS-3,US,US,O,state
1998-030,2450947.16,5/13/98,1998,Titan II SLV,,NOAA K,US,US,O,state
1998-F02,2451037.98,8/12/98,1998,Titan 401A/Centaur,,MERCURY 3,US,US,F,state
1958 ALP,2436235.66,2/1/58,1958,Jupiter C,JunoI,Explorer 1,US,US,O,state
1958 GAM,2436289.23,3/26/58,1958,Jupiter C,JunoI,Explorer 3,US,US,O,state
1958 EPS,2436411.13,7/26/58,1958,Jupiter C,JunoI,Explorer 4,US,US,O,state
1958-F02,2436268.27,3/5/58,1958,Jupiter C,JunoI,Explorer 2,US,US,F,state
1958-F11,2436439.76,8/24/58,1958,Jupiter C,JunoI,Explorer 5,US,US,F,state
1958-F18,2436499.64,10/23/58,1958,Jupiter C,JunoI,Beacon,US,US,F,state
1984-114,2446014.55,11/10/84,1984,Ariane 3,,Spacenet F2,AE,F,O,private
1984-049,2445843.56,5/23/84,1984,Ariane 1,,Spacenet F1,AE,F,O,private
1984-081,2445917.06,8/4/84,1984,Ariane 3,,ECS 2,AE,F,O,private
1985-015,2446105.47,2/8/85,1985,Ariane 3,,Arabsat 1A,AE,F,O,private
1985-035,2446193.55,5/8/85,1985,Ariane 3,,Gstar 1A,AE,F,O,private
1985-056,2446248.97,7/2/85,1985,Ariane 1,,Giotto,AE,F,O,private
1986-019,2446483.57,2/22/86,1986,Ariane 1,,SPOT,AE,F,O,private
1986-026,2446518.48,3/28/86,1986,Ariane 3,,Gstar 2,AE,F,O,private
1987-078,2447054.53,9/16/87,1987,Ariane 3,,Aussat K3,AE,F,O,private
1987-095,2447120.6,11/21/87,1987,Ariane 2,,TV-SAT,AE,F,O,private
1988-109,2447506.52,12/11/88,1988,Ariane 44LP,44LP,Skynet 4B,AE,F,O,private
1988-018,2447232.48,3/11/88,1988,Ariane 3,,Spacenet 3R,AE,F,O,private
1988-040,2447299.5,5/17/88,1988,Ariane 2,,INTELSAT VA F13,AE,F,O,private
1988-051,2447327.97,6/15/88,1988,Ariane 44LP,44LP,Meteosat P2,AE,F,O,private
1988-063,2447364.47,7/21/88,1988,Ariane 3,,Insat 1C,AE,F,O,private
1988-081,2447413.46,9/8/88,1988,Ariane 3,,Gstar 3,AE,F,O,private
1988-098,2447462.6,10/28/88,1988,Ariane 2,,TDF 1,AE,F,O,private
1989-006,2447553.56,1/27/89,1989,Ariane 2,,INTELSAT VA F15,AE,F,O,private
1989-020,2447592.48,3/6/89,1989,Ariane 44LP,44LP,JCSAT 1,AE,F,O,private
1989-027,2447618.6,4/2/89,1989,Ariane 2,,Tele-X,AE,F,O,private
1989-041,2447683.44,6/5/89,1989,Ariane 44L,44L,Superbird A,AE,F,O,private
1989-053,2447719.51,7/12/89,1989,Ariane 3,,Olympus,AE,F,O,private
1989-062,2447747.48,8/8/89,1989,Ariane 44LP,44LP,TV-SAT 2,AE,F,O,private
1989-087,2447827.46,10/27/89,1989,Ariane 44L,44L,INTELSAT VI F-2,AE,F,O,private
1990-100,2448216.47,11/20/90,1990,Ariane 42P,42P,Satcom C1,AE,F,O,private
1990-005,2447913.57,1/22/90,1990,Ariane 40,40,SPOT 2,AE,F,O,private
1990-063,2448097.43,7/24/90,1990,Ariane 44L,44L,TDF 2,AE,F,O,private
1990-079,2448134.45,8/30/90,1990,Ariane 44LP,44LP,Skynet 4C,AE,F,O,private
1990-091,2448177.46,10/12/90,1990,Ariane 44L,44L,SBS 6,AE,F,O,private
1991-003,2448272.47,1/15/91,1991,Ariane 44L,44L,Italsat 1,AE,F,O,private
1991-015,2448318.48,3/2/91,1991,Ariane 44LP,44LP,Astra 1B,AE,F,O,private
1991-026,2448351.48,4/4/91,1991,Ariane 44P,44P,Anik E2,AE,F,O,private
1991-050,2448454.57,7/17/91,1991,Ariane 40,40,ERS-1,AE,F,O,private
1991-055,2448483.47,8/14/91,1991,Ariane 44L,44L,INTELSAT VI F-5,AE,F,O,private
1991-067,2448526.49,9/26/91,1991,Ariane 44P,44P,Anik E1,AE,F,O,private
1991-075,2448559.46,10/29/91,1991,Ariane 44L,44L,INTELSAT VI F-1,AE,F,O,private
1991-084,2448607.47,12/16/91,1991,Ariane 44L,44L,Telecom 2A,AE,F,O,private
1992-010,2448679.5,2/26/92,1992,Ariane 44L,44L,Superbird B1,AE,F,O,private
1992-021,2448728.48,4/15/92,1992,Ariane 44L,44L+,Telecom 2B,AE,F,O,private
1992-041,2448813.45,7/9/92,1992,Ariane 44L,44L,Insat 2A,AE,F,O,private
1992-052,2448845.46,8/10/92,1992,Ariane 42P,42P,Topex-Poseidon,AE,F,O,private
1992-060,2448876.46,9/10/92,1992,Ariane 44LP,44LP+,Hispasat 1A,AE,F,O,private
1992-072,2448923.51,10/28/92,1992,Ariane 42P,42P+,Galaxy VII,AE,F,O,private
1992-084,2448958.45,12/1/92,1992,Ariane 42P,42P+,Superbird A1,AE,F,O,private
1993-031,2449119.54,5/12/93,1993,Ariane 42L,42L,Astra 1C,AE,F,O,private
1993-039,2449163.51,6/25/93,1993,Ariane 42P,42P+,Galaxy IVH,AE,F,O,private
1993-048,2449191.46,7/22/93,1993,Ariane 44L,44L+,Hispasat 1B,AE,F,O,private
1993-061,2449256.57,9/26/93,1993,Ariane 40,40,SPOT 3,AE,F,O,private
1993-066,2449282.78,10/22/93,1993,Ariane 44LP,44LP,INTELSAT 701,AE,F,O,private
1993-073,2449311.55,11/20/93,1993,Ariane 44LP,44LP+,Solidaridad 1,AE,F,O,private
1993-078,2449339.56,12/18/93,1993,Ariane 44L,44L+,DBS 1,AE,F,O,private
1994-034,2449520.8,6/17/94,1994,Ariane 44LP,44LP+,INTELSAT 702,AE,F,O,private
1994-040,2449542.46,7/8/94,1994,Ariane 44L,44L+,Panamsat K1,AE,F,O,private
1994-049,2449575.46,8/10/94,1994,Ariane 44LP,44LP+,Brasilsat B1,AE,F,O,private
1994-058,2449604.52,9/9/94,1994,Ariane 42L,42L+,Telstar 402,AE,F,O,private
1994-065,2449633.55,10/8/94,1994,Ariane 44L,44L+,Solidaridad 2,AE,F,O,private
1994-070,2449657.53,11/1/94,1994,Ariane 42P,42P+,Astra 1D,AE,F,O,private
1995-016,2449805.47,3/28/95,1995,Ariane 44LP,44LP+,Brasilsat B2,AE,F,O,private
1995-021,2449828.57,4/21/95,1995,Ariane 40,40+,ERS-2,AE,F,O,private
1995-023,2449854.77,5/17/95,1995,Ariane 44LP,44LP-3,INTELSAT 706,AE,F,O,private
1995-029,2449878.52,6/10/95,1995,Ariane 42P,42P-3,DBS 3,AE,F,O,private
1995-033,2449906.18,7/7/95,1995,Ariane 40,40-3,Helios 1A,AE,F,O,private
1995-040,2449933.46,8/3/95,1995,Ariane 42L,42L-3,Panamsat K3,AE,F,O,private
1995-044,2449958.78,8/29/95,1995,Ariane 44P,44P-3,N-STAR a,AE,F,O,private
1995-049,2449984.5,9/24/95,1995,Ariane 42L,42L-3,Telstar 402R,AE,F,O,private
1995-055,2450009.53,10/19/95,1995,Ariane 42L,42L-3,Astra 1E,AE,F,O,private
1995-062,2450038.56,11/17/95,1995,Ariane 44P,44P-3,ISO,AE,F,O,private
1995-067,2450058.47,12/6/95,1995,Ariane 44L,44L-3,Telecom 2C,AE,F,O,private
1996-002,2450095.47,1/12/96,1996,Ariane 44L,44L-3,Panamsat K4,AE,F,O,private
1996-007,2450118.81,2/5/96,1996,Ariane 44P,44P-3,N-Star b,AE,F,O,private
1996-015,2450156.8,3/14/96,1996,Ariane 44LP,44LP-3,INTELSAT 707,AE,F,O,private
1996-022,2450194.44,4/20/96,1996,Ariane 42P,42P-3,MSAT-1,AE,F,O,private
1996-030,2450219.58,5/16/96,1996,Ariane 44L,44L-3,Palapa C2,AE,F,O,private
1996-035,2450249.79,6/15/96,1996,Ariane 44P,44P-3,INTELSAT 709,AE,F,O,private
1996-040,2450274.43,7/9/96,1996,Ariane 44L,44L-3,Arabsat 2A,AE,F,O,private
1996-044,2450304.45,8/8/96,1996,Ariane 44L,44L-3,Italsat F2,AE,F,O,private
1996-055,2450337.5,9/11/96,1996,Ariane 42P,42P-3,Echostar II,AE,F,O,private
1996-063,2450401.44,11/13/96,1996,Ariane 44L,44L-3,Arabsat 2B,AE,F,O,private
1997-002,2450479.42,1/30/97,1997,Ariane 44L,44L-3,GE 2,AE,F,O,private
1997-009,2450508.55,3/1/97,1997,Ariane 44P,44P-3,INTELSAT 801,AE,F,O,private
1997-016,2450555.46,4/16/97,1997,Ariane 44LP,44LP-3,Thaicom 3,AE,F,O,private
1997-027,2450603.47,6/3/97,1997,Ariane 44L,44L-3,INMARSAT III F4,AE,F,O,private
1997-031,2450625.49,6/25/97,1997,Ariane 44P,44P-3,INTELSAT 802,AE,F,O,private
1997-040,2450668.78,8/8/97,1997,Ariane 44P,44P-3,PAS 6,AE,F,O,private
1997-049,2450694.43,9/2/97,1997,Ariane 44LP,44LP-3,Eutelsat HB3,AE,F,O,private
1997-053,2450715.5,9/23/97,1997,Ariane 42L,42L-3,INTELSAT 803,AE,F,O,private
1997-071,2450765.41,11/12/97,1997,Ariane 44L,44L-3,Sirius 2,AE,F,O,private
1997-075,2450785.45,12/2/97,1997,Ariane 44P,44P-3,JCSAT 5,AE,F,O,private
1997-083,2450804.51,12/22/97,1997,Ariane 42L,42L-3,INTELSAT 804,AE,F,O,private
1998-006,2450849.48,2/4/98,1998,Ariane 44LP,44LP-3,Brasilsat B3,AE,F,O,private
1998-013,2450872.44,2/27/98,1998,Ariane 42P,42P-3,Eutelsat HB4,AE,F,O,private
1998-017,2450896.57,3/24/98,1998,Ariane 40,40-3,SPOT-4,AE,F,O,private
1998-024,2450932.45,4/28/98,1998,Ariane 44P,44P-3,Nilesat 101,AE,F,O,private
1998-049,2451051.46,8/25/98,1998,Ariane 44P,44P-3,Singapore-Taiwan 1,AE,F,O,private
1998-052,2451072.77,9/16/98,1998,Ariane 44LP,44LP-3,PAS 7,AE,F,O,private
1998-056,2451092.45,10/5/98,1998,Ariane 44L,44L-3,Eutelsat W2,AE,F,O,private
1998-059,2451108.19,10/21/98,1998,Ariane 5G,,Maqsat-3,AE,F,O,private
1998-063,2451115.43,10/28/98,1998,Ariane 44L,44L-3,Afristar,AE,F,O,private
1998-070,2451153.53,12/6/98,1998,Ariane 42L,42L-3,Satmex 5,AE,F,O,private
1998-075,2451169.55,12/22/98,1998,Ariane 42L,42L-3,PAS 6B,AE,F,O,private
1999-009,2451236.45,2/26/99,1999,Ariane 44L,44L-3,Arabsat 3A,AE,F,O,private
1999-016,2451271.42,4/2/99,1999,Ariane 42P,42P-3,Insat 2E,AE,F,O,private
1999-042,2451403.45,8/12/99,1999,Ariane 42P,42P-3,Telkom 1,AE,F,O,private
1999-046,2451426.44,9/4/99,1999,Ariane 42P,42P-3,Koreasat 3,AE,F,O,private
1999-052,2451446.77,9/25/99,1999,Ariane 44LP,44LP-3,Telstar 7,AE,F,O,private
1999-059,2451470.77,10/19/99,1999,Ariane 44LP,44LP-3,Orion 2,AE,F,O,private
1999-060,2451496.45,11/13/99,1999,Ariane 44LP,44LP-3,GE 4,AE,F,O,private
1999-064,2451516.18,12/3/99,1999,Ariane 40,40-3,Helios 1B,AE,F,O,private
1999-066,2451523.11,12/10/99,1999,Ariane 5G,,XMM,AE,F,O,private
1999-071,2451534.53,12/22/99,1999,Ariane 44L,44L-3,Galaxy 11,AE,F,O,private
2000-002,2451568.54,1/25/00,2000,Ariane 42L,42L-3,Galaxy XR,AE,F,O,private
2000-012,2451592.54,2/18/00,2000,Ariane 44LP,44LP-3,Superbird 4,AE,F,O,private
2000-016,2451625.48,3/21/00,2000,Ariane 5G,,Asiastar,AE,F,O,private
2000-020,2451653.52,4/19/00,2000,Ariane 42L,42L-3,Galaxy IVR,AE,F,O,private
2000-046,2451774.47,8/17/00,2000,Ariane 44LP,44LP-3,Brasilsat B4,AE,F,O,private
2000-052,2451794.44,9/6/00,2000,Ariane 44P,44P-3,Eutelsat W1,AE,F,O,private
2000-054,2451802.45,9/14/00,2000,Ariane 5G,,Astra 2B,AE,F,O,private
2000-060,2451824.46,10/6/00,2000,Ariane 42L,42L-3,Superbird 5,AE,F,O,private
2000-068,2451846.75,10/29/00,2000,Ariane 44LP,44LP-3,EuropeStar FM1,AE,F,O,private
2000-072,2451864.55,11/16/00,2000,Ariane 5G,,PAS 1R,AE,F,O,private
2000-076,2451870.5,11/21/00,2000,Ariane 44L,44L-3,Anik F1,AE,F,O,private
2000-081,2451898.52,12/20/00,2000,Ariane 5G,,Astra 2D,AE,F,O,private
2001-002,2451920.42,1/10/01,2001,Ariane 44P,44P-3,Eurasiasat 1,AE,F,O,private
2001-005,2451948.46,2/7/01,2001,Ariane 44L,44L-3,SICRAL 1A,AE,F,O,private
2001-011,2451977.45,3/8/01,2001,Ariane 5G,,Eurobird,AE,F,O,private
2001-024,2452069.78,6/9/01,2001,Ariane 44L,44L-3,IS-901,AE,F,O,private
2001-029,2452103.42,7/12/01,2001,Ariane 5G,,Artemis,AE,F,O,private
2001-039,2452151.78,8/30/01,2001,Ariane 44L,44L-3,INTELSAT 902,AE,F,O,private
2001-042,2452178.47,9/25/01,2001,Ariane 44P,44P-3,Atlantic Bird 2,AE,F,O,private
2001-052,2452240.52,11/27/01,2001,Ariane 44LP,44LP-3,DirecTV-4S,AE,F,O,private
2002-002,2452298.49,1/23/02,2002,Ariane 42L,42L-3,Insat 3C,AE,F,O,private
2002-007,2452328.79,2/23/02,2002,Ariane 44L,44L-3,INTELSAT 904,AE,F,O,private
2002-009,2452334.55,3/1/02,2002,Ariane 5G,,Envisat PPF,AE,F,O,private
2002-015,2452362.56,3/29/02,2002,Ariane 44L,44L-3,JCSAT-8,AE,F,O,private
2002-019,2452381.46,4/16/02,2002,Ariane 44L,44L-3,NSS 7,AE,F,O,private
2002-021,2452398.56,5/4/02,2002,Ariane 42P,42P-3,SPOT 5,AE,F,O,private
2002-027,2452430.78,6/5/02,2002,Ariane 44L,44L-3,INTELSAT 905,AE,F,O,private
2002-035,2452461.47,7/5/02,2002,Ariane 5G,,Stellat 5,AE,F,O,private
2002-040,2452515.45,8/28/02,2002,Ariane 5G,,Atlantic Bird 1,AE,F,O,private
2002-041,2452523.78,9/6/02,2002,Ariane 44L,44L-3,INTELSAT 906,AE,F,O,private
2002-057,2452626.46,12/17/02,2002,Ariane 44L,44L-3,NSS 6,AE,F,O,private
2003-007,2452685.79,2/15/03,2003,Ariane 44L,44L-3,INTELSAT 907,AE,F,O,private
2003-013,2452739.45,4/9/03,2003,Ariane 5G,,Insat 3A,AE,F,O,private
2003-028,2452802.44,6/11/03,2003,Ariane 5G,,BSAT-2c,AE,F,O,private
2003-043,2452910.47,9/27/03,2003,Ariane 5G,,e-Bird,AE,F,O,private
2004-006,2453066.8,3/2/04,2004,Ariane 5G+,,Rosetta,AE,F,O,private
2004-027,2453204.53,7/18/04,2004,Ariane 5G+,,Anik F2,AE,F,O,private
2004-049,2453358.18,12/18/04,2004,Ariane 5G+,,Helios 2A,AE,F,O,private
2005-028,2453593.85,8/11/05,2005,Ariane 5GS,,iPSTAR 1,AE,F,O,private
2005-041,2453657.44,10/13/05,2005,Ariane 5GS,,Galaxy 15,AE,F,O,private
2005-049,2453726.44,12/21/05,2005,Ariane 5GS,,Insat 4A,AE,F,O,private
2006-007,2453806.44,3/11/06,2006,Ariane 5ECA,,Spainsat,AE,F,O,private
2006-020,2453883.38,5/27/06,2006,Ariane 5ECA,,Satmex 6,AE,F,O,private
2006-033,2453959.43,8/11/06,2006,Ariane 5ECA,,JCSAT 10,AE,F,O,private
2006-043,2454022.37,10/13/06,2006,Ariane 5ECA,,DirecTV 9S,AE,F,O,private
2006-054,2454078.42,12/8/06,2006,Ariane 5ECA,,WildBlue 1,AE,F,O,private
2007-007,2454171.42,3/11/07,2007,Ariane 5ECA,,Insat 4B,AE,F,O,private
2007-016,2454225.44,5/4/07,2007,Ariane 5ECA,,Astra 1L,AE,F,O,private
2007-036,2454327.49,8/14/07,2007,Ariane 5ECA,,Spaceway 3,AE,F,O,private
2007-044,2454379.42,10/5/07,2007,Ariane 5GS,,Optus D2,AE,F,O,private
2007-056,2454419.42,11/14/07,2007,Ariane 5ECA,,Star One C1,AE,F,O,private
2007-063,2454456.4,12/21/07,2007,Ariane 5GS,,Rascom 1,AE,F,O,private
2008-008,2454534.67,3/9/08,2008,Ariane 5ES/ATV,,ATV 1,AE,F,O,private
2008-018,2454575.43,4/18/08,2008,Ariane 5ECA,,Vinasat,AE,F,O,private
2008-030,2454630.42,6/12/08,2008,Ariane 5ECA,,Skynet 5C,AE,F,O,private
2008-034,2454655.41,7/7/08,2008,Ariane 5ECA,,Protostar 1,AE,F,O,private
2008-038,2454693.36,8/14/08,2008,Ariane 5ECA,,Superbird 7,AE,F,O,private
2008-065,2454821.44,12/20/08,2008,Ariane 5ECA,,Hot Bird 9,AE,F,O,private
2009-008,2454875.42,2/12/09,2009,Ariane 5ECA,,NSS 9,AE,F,O,private
2009-026,2454966.05,5/14/09,2009,Ariane 5ECA,,Herschel,AE,F,O,private
2009-035,2455014.24,7/1/09,2009,Ariane 5ECA,,Terrestar 1,AE,F,O,private
2009-044,2455065.42,8/21/09,2009,Ariane 5ECA,,JCSAT 12,AE,F,O,private
2009-054,2455106.42,10/1/09,2009,Ariane 5ECA,,Amazonas 2,AE,F,O,private
2009-058,2455134.33,10/29/09,2009,Ariane 5ECA,,NSS 12,AE,F,O,private
2009-073,2455184.18,12/18/09,2009,Ariane 5GS,,Helios 2B,AE,F,O,private
2010-021,2455338.42,5/21/10,2010,Ariane 5ECA,,Astra 3B,AE,F,O,private
2010-032,2455374.4,6/26/10,2010,Ariane 5ECA,,COMS-1,AE,F,O,private
2010-037,2455413.37,8/4/10,2010,Ariane 5ECA,,Nilesat 201,AE,F,O,private
2010-056,2455498.41,10/28/10,2010,Ariane 5ECA,,Eutelsat W3B,AE,F,O,private
2010-065,2455527.28,11/26/10,2010,Ariane 5ECA,,Hylas,AE,F,O,private
2010-070,2455560.39,12/29/10,2010,Ariane 5ECA,,Hispasat 1E,AE,F,O,private
2011-007,2455609.41,2/16/11,2011,Ariane 5ES/ATV,,ATV 2,AE,F,O,private
2011-016,2455674.4,4/22/11,2011,Ariane 5ECA,,Intelsat New Dawn,AE,F,O,private
2011-022,2455702.36,5/20/11,2011,Ariane 5ECA,,INSAT-4G,AE,F,O,private
2011-041,2455780.45,8/6/11,2011,Ariane 5ECA,,Astra 1N,AE,F,O,private
2011-049,2455826.4,9/21/11,2011,Ariane 5ECA,,SES-2,AE,F,O,private
2011-060,2455855.94,10/21/11,2011,Soyuz-ST-B,Fregat,Galileo PFM,AE,F,O,private
2011-076,2455912.59,12/17/11,2011,Soyuz-ST-A,Fregat,Elisa 1,AE,F,O,private
2012-010,2456009.69,3/23/12,2012,Ariane 5ES/ATV,,ATV 3,AE,F,O,private
2012-023,2456063.43,5/15/12,2012,Ariane 5ECA,,JCSAT 13,AE,F,O,private
2012-035,2456114.4,7/5/12,2012,Ariane 5ECA,,Jupiter 1,AE,F,O,private
2012-043,2456142.37,8/2/12,2012,Ariane 5ECA,,Intelsat IS-20,AE,F,O,private
2012-051,2456199.39,9/28/12,2012,Ariane 5ECA,,Astra 2F,AE,F,O,private
2012-055,2456213.26,10/12/12,2012,Soyuz-ST-B,Fregat,Galileo FM3,AE,F,O,private
2012-062,2456242.38,11/10/12,2012,Ariane 5ECA,,Star One C3,AE,F,O,private
2012-068,2456263.59,12/2/12,2012,Soyuz-ST-A,Fregat,Pleiades HR-2,AE,F,O,private
2012-075,2456281.41,12/19/12,2012,Ariane 5ECA,,Skynet 5D,AE,F,O,private
2013-006,2456331.4,2/7/13,2013,Ariane 5ECA,,Amazonas 3/Azerspace,AE,F,O,private
2013-021,2456419.59,5/7/13,2013,Vega,,PROBA-V,AE,F,O,private
2013-027,2456449.41,6/5/13,2013,Ariane 5ES/ATV,,ATV 4,AE,F,O,private
2013-031,2456469.31,6/25/13,2013,Soyuz-ST-B,Fregat,O3b SV1/SV2/SV4/SV5,AE,F,O,private
2013-038,2456499.33,7/25/13,2013,Ariane 5ECA,,Alphasat/Insat-3D,AE,F,O,private
2013-044,2456534.35,8/29/13,2013,Ariane 5ECA,,Es'hail/GSAT-7,AE,F,O,private
2013-074,2456645.88,12/19/13,2013,Soyuz-ST-B,Fregat,Gaia,AE,F,O,private
2014-006,2456695.4,2/6/14,2014,Ariane 5ECA,,ABS-2/Athena-Fidus,AE,F,O,private
2014-011,2456739.42,3/22/14,2014,Ariane 5ECA,,Astra 5B/Amazonas 4A,AE,F,O,private
2014-016,2456751.38,4/3/14,2014,Soyuz-ST-A,Fregat,Sentinel 1A,AE,F,O,private
2014-024,2456777.57,4/30/14,2014,Vega,,KazEOSat-1,AE,F,O,private
2014-038,2456849.29,7/10/14,2014,Soyuz-ST-B,Fregat,O3b SV3/SV6/SV7/SV8,AE,F,O,private
2014-044,2456868.49,7/29/14,2014,Ariane 5ES/ATV,,ATV 5,AE,F,O,private
2014-050,2456892.02,8/22/14,2014,Soyuz-ST-B,Fregat,GalileoSat 5-6,AE,F,O,private
2014-054,2456912.42,9/11/14,2014,Ariane 5ECA,,Measat 3B/Optus 10,AE,F,O,private
2014-062,2456947.41,10/16/14,2014,Ariane 5ECA,,IS-30/Arsat 1,AE,F,O,private
2014-078,2456998.36,12/6/14,2014,Ariane 5ECA,,DirectTV-14/GSAT-16,AE,F,O,private
2014-083,2457010.28,12/18/14,2014,Soyuz-ST-B,Fregat,O3b SV9/SV10/SV11/SV12,AE,F,O,private
2015-017,2457109.41,3/27/15,2015,Soyuz-ST-B,Fregat,GalileoSat 7-8,AE,F,O,private
2015-022,2457139.33,4/26/15,2015,Ariane 5ECA,,Sicral 2/Thor 7,AE,F,O,private
2015-026,2457170.39,5/27/15,2015,Ariane 5ECA,,DirecTV-15/SKYM-1,AE,F,O,private
2015-028,2457196.58,6/23/15,2015,Vega,1,Sentinel-2A,AE,F,O,private
2015-034,2457219.4,7/15/15,2015,Ariane 5ECA,,Star One C4/MSG 4,AE,F,O,private
2015-039,2457255.36,8/20/15,2015,Ariane 5ECA,,Eutelsat 8WB/IS-34,AE,F,O,private
2015-045,2457276.59,9/11/15,2015,Soyuz-ST-B,Fregat,GalileoSat 9-10,AE,F,O,private
2015-054,2457296.19,9/30/15,2015,Ariane 5ECA,,NBN Co.1/ARSAT 2,AE,F,O,private
2015-065,2457337.4,11/10/15,2015,Ariane 5ECA,,Badr 7/GSAT 15,AE,F,O,private
2015-070,2457359.67,12/3/15,2015,Vega,1,LPF,AE,F,O,private
2015-079,2457373.99,12/17/15,2015,Soyuz-ST-B,Fregat,GalileoSat 11-12,AE,F,O,private
2016-004,2457415.47,1/27/16,2016,Ariane 5ECA,,Intelsat 29e,AE,F,O,private
2016-014,2457456.72,3/9/16,2016,Ariane 5ECA,,Eutelsat 65 West A,AE,F,O,private
2016-025,2457504.38,4/25/16,2016,Soyuz-ST-A,Fregat,Sentinel 1B/Microscope,AE,F,O,private
2016-030,2457532.87,5/24/16,2016,Soyuz-ST-B,Fregat,GalileoSat 13-14,AE,F,O,private
2016-039,2457558.4,6/18/16,2016,Ariane 5ECA,,Echostar 18/BRISAT,AE,F,O,private
2016-053,2457625.43,8/24/16,2016,Ariane 5ECA,,IS-33e/IS-36,AE,F,O,private
