sampledate,year4,month,daynum,max_air_temp_adjusted,max_air_temp_raw,min_air_temp_adjusted,min_air_temp_raw,ave_air_temp_adjusted,ave_air_temp_raw,range_air_temp_adjusted,precip_raw_mm,snow_raw_cm,snow_depth_cm,data_status
1870-07-12,1870,7,193,28.3,28.3,18.9,18.9,23.6,23.6,9.4,0,,,F
1870-07-14,1870,7,195,25,25,15.6,15.6,20.3,20.3,9.4,17.8,,,F
1870-07-15,1870,7,196,27.8,27.8,18.9,18.9,23.3,23.3,8.9,58.4,,,F
1870-07-16,1870,7,197,28.9,28.9,23.9,23.9,26.4,26.4,5,32.5,,,F
1870-07-17,1870,7,198,28.3,28.3,21.1,21.1,24.7,24.7,7.2,4.1,,,F
1870-07-18,1870,7,199,30.6,30.6,24.4,24.4,27.5,27.5,6.2,0,,,F
1870-07-19,1870,7,200,26.7,26.7,26.1,26.1,26.4,26.4,0.6,16.5,,,F
1870-07-20,1870,7,201,27.2,27.2,22.2,22.2,24.7,24.7,5,0,,,F
1870-07-21,1870,7,202,26.7,26.7,21.1,21.1,23.9,23.9,5.6,0,,,F
1870-07-22,1870,7,203,32.2,32.2,22.2,22.2,27.2,27.2,10,0,,,F
1870-07-23,1870,7,204,32.8,32.8,26.7,26.7,29.7,29.7,6.1,0,,,F
1870-07-24,1870,7,205,29.4,29.4,21.1,21.1,25.3,25.3,8.3,19.1,,,F
1870-07-26,1870,7,207,32.8,32.8,25.6,25.6,29.2,29.2,7.2,0,,,F
1870-07-27,1870,7,208,26.1,26.1,23.9,23.9,25,25,2.2,0.3,,,F
1870-07-28,1870,7,209,25,25,20.6,20.6,22.8,22.8,4.4,4.6,,,F
1870-07-29,1870,7,210,19.4,19.4,15,15,17.2,17.2,4.4,13.5,,,F
1870-07-30,1870,7,211,23.3,23.3,17.2,17.2,20.3,20.3,6.1,5.6,,,F
1870-07-31,1870,7,212,28.3,28.3,21.7,21.7,25,25,6.6,0,,,F
1870-08-01,1870,8,213,28.3,28.3,22.2,22.2,25.3,25.3,6.1,0,,,F
1870-08-02,1870,8,214,28.9,28.9,22.8,22.8,25.8,25.8,6.1,0,,,F
1870-08-03,1870,8,215,25,25,21.1,21.1,23.1,23.1,3.9,0,,,F
1870-08-04,1870,8,216,30,30,22.2,22.2,26.1,26.1,7.8,0,,,F
1870-08-05,1870,8,217,26.1,26.1,18.9,18.9,22.5,22.5,7.2,6.4,,,F
1870-08-07,1870,8,219,16.7,16.7,16.1,16.1,16.4,16.4,0.6,2.5,,,F
1870-08-08,1870,8,220,22.8,22.8,16.7,16.7,19.7,19.7,6.1,0,,,F
1870-08-09,1870,8,221,25.6,25.6,18.9,18.9,22.2,22.2,6.7,0,,,F
1870-08-10,1870,8,222,24.4,24.4,17.2,17.2,20.8,20.8,7.2,0,,,F
1870-08-11,1870,8,223,25.6,25.6,19.4,19.4,22.5,22.5,6.2,0,,,F
1870-08-12,1870,8,224,18.9,18.9,13.3,13.3,16.1,16.1,5.6,0,,,F
1870-08-13,1870,8,225,21.7,21.7,15,15,18.3,18.3,6.7,0,,,F
1870-08-14,1870,8,226,24.4,24.4,16.1,16.1,20.3,20.3,8.3,0,,,F
1870-08-15,1870,8,227,24.4,24.4,16.7,16.7,20.6,20.6,7.7,0,,,F
1870-08-16,1870,8,228,26.7,26.7,17.8,17.8,22.2,22.2,8.9,0,,,F
1870-08-17,1870,8,229,29.4,29.4,20.6,20.6,25,25,8.8,0,,,F
1870-08-18,1870,8,230,30.6,30.6,18.9,18.9,24.7,24.7,11.7,0,,,F
1870-08-20,1870,8,232,20,20,13.3,13.3,16.7,16.7,6.7,0,,,F
1870-08-21,1870,8,233,21.7,21.7,16.7,16.7,19.2,19.2,5,0,,,F
1870-08-22,1870,8,234,26.7,26.7,16.7,16.7,21.7,21.7,10,0,,,F
1870-08-23,1870,8,235,27.8,27.8,20,20,23.9,23.9,7.8,29.2,,,F
1870-08-24,1870,8,236,31.7,31.7,21.1,21.1,26.4,26.4,10.6,12.2,,,F
1870-08-25,1870,8,237,18.9,18.9,15.6,15.6,17.2,17.2,3.3,0,,,F
1870-08-26,1870,8,238,21.7,21.7,15,15,18.3,18.3,6.7,0,,,F
1870-08-27,1870,8,239,23.3,23.3,14.4,14.4,18.9,18.9,8.9,17.3,,,F
1870-08-28,1870,8,240,27.8,27.8,20.6,20.6,24.2,24.2,7.2,0,,,F
1870-08-29,1870,8,241,20,20,15,15,17.5,17.5,5,6.1,,,F
1870-08-30,1870,8,242,24.4,24.4,15.6,15.6,20,20,8.8,0,,,F
1870-09-01,1870,9,244,22.2,22.2,17.2,17.2,19.7,19.7,5,0,,,F
1870-09-02,1870,9,245,20,20,14.4,14.4,17.2,17.2,5.6,2.8,,,F
1870-09-03,1870,9,246,15,15,13.3,13.3,14.2,14.2,1.7,26.2,,,F
1870-09-04,1870,9,247,18.9,18.9,13.3,13.3,16.1,16.1,5.6,0,,,F
1870-09-05,1870,9,248,18.9,18.9,12.2,12.2,15.6,15.6,6.7,4.6,,,F
1870-09-06,1870,9,249,25,25,17.8,17.8,21.4,21.4,7.2,0,,,F
1870-09-07,1870,9,250,28.3,28.3,21.1,21.1,24.7,24.7,7.2,0,,,F
1870-09-08,1870,9,251,21.7,21.7,18.9,18.9,20.3,20.3,2.8,0,,,F
1870-09-09,1870,9,252,20.6,20.6,17.2,17.2,18.9,18.9,3.4,26.7,,,F
1870-09-10,1870,9,253,22.2,22.2,16.1,16.1,19.2,19.2,6.1,0,,,F
1870-09-11,1870,9,254,20.6,20.6,14.4,14.4,17.5,17.5,6.2,0,,,F
1870-09-13,1870,9,256,23.9,23.9,13.9,13.9,18.9,18.9,10,0,,,F
1870-09-14,1870,9,257,22.8,22.8,16.7,16.7,19.7,19.7,6.1,0,,,F
1870-09-15,1870,9,258,21.1,21.1,18.3,18.3,19.7,19.7,2.8,10.2,,,F
1870-09-16,1870,9,259,18.3,18.3,17.8,17.8,18.1,18.1,0.5,0,,,F
1870-09-17,1870,9,260,20.6,20.6,15.6,15.6,18.1,18.1,5,0,,,F
1870-09-18,1870,9,261,19.4,19.4,15,15,17.2,17.2,4.4,0,,,F
1870-09-19,1870,9,262,20.6,20.6,13.3,13.3,16.9,16.9,7.3,0,,,F
1870-09-20,1870,9,263,22.2,22.2,13.3,13.3,17.8,17.8,8.9,0,,,F
1870-09-21,1870,9,264,24.4,24.4,15,15,19.7,19.7,9.4,0,,,F
1870-09-23,1870,9,266,19.4,19.4,17.8,17.8,18.6,18.6,1.6,0,,,F
1870-09-24,1870,9,267,18.3,18.3,15.6,15.6,16.9,16.9,2.7,24.4,,,F
1870-09-25,1870,9,268,21.1,21.1,15.6,15.6,18.3,18.3,5.5,0,,,F
1870-09-26,1870,9,269,22.2,22.2,15.6,15.6,18.9,18.9,6.6,0,,,F
1870-09-27,1870,9,270,22.2,22.2,16.7,16.7,19.4,19.4,5.5,0,,,F
1870-09-28,1870,9,271,21.7,21.7,15,15,18.3,18.3,6.7,6.9,,,F
1870-09-29,1870,9,272,20.6,20.6,16.1,16.1,18.3,18.3,4.5,47.5,,,F
1870-09-30,1870,9,273,21.7,21.7,15,15,18.3,18.3,6.7,39.6,,,F
1870-10-01,1870,10,274,21.1,21.1,14.4,14.4,17.8,17.8,6.7,0,,,F
1870-10-02,1870,10,275,19.4,19.4,13.9,13.9,16.7,16.7,5.5,1.3,,,F
1870-10-03,1870,10,276,14.4,14.4,12.2,12.2,13.3,13.3,2.2,0,,,F
1870-10-05,1870,10,278,15.6,15.6,8.9,8.9,12.2,12.2,6.7,0,,,F
1870-10-06,1870,10,279,15.6,15.6,8.3,8.3,11.9,11.9,7.3,0,,,F
1870-10-07,1870,10,280,16.7,16.7,12.8,12.8,14.7,14.7,3.9,0,,,F
1870-10-08,1870,10,281,18.9,18.9,11.7,11.7,15.3,15.3,7.2,0,,,F
1870-10-09,1870,10,282,17.8,17.8,9.4,9.4,13.6,13.6,8.4,0,,,F
1870-10-10,1870,10,283,15,15,11.7,11.7,13.3,13.3,3.3,0,,,F
1870-10-11,1870,10,284,11.1,11.1,7.2,7.2,9.2,9.2,3.9,0,,,F
1870-10-12,1870,10,285,10,10,6.7,6.7,8.3,8.3,3.3,0,,,F
1870-10-13,1870,10,286,14.4,14.4,4.4,4.4,9.4,9.4,10,0,,,F
1870-10-14,1870,10,287,16.7,16.7,8.9,8.9,12.8,12.8,7.8,0.8,,,F
1870-10-15,1870,10,288,16.1,16.1,6.1,6.1,11.1,11.1,10,33,,,F
1870-10-17,1870,10,290,7.2,7.2,5,5,6.1,6.1,2.2,3,,,F
1870-10-18,1870,10,291,8.9,8.9,1.1,1.1,5,5,7.8,0,,,F
1870-10-19,1870,10,292,8.9,8.9,6.7,6.7,7.8,7.8,2.2,0,,,F
1869-01-01,1869,1,1,-3.9,-3.9,-6.1,-6.1,-5,-5,2.2,0,,,F
1869-01-02,1869,1,2,-3.3,-3.3,-5.6,-5.6,-4.4,-4.4,2.3,12.7,,,F
1869-01-03,1869,1,3,2.8,2.8,-1.1,-1.1,0.8,0.8,3.9,0,,,F
1869-01-04,1869,1,4,1.7,1.7,-5.6,-5.6,-1.9,-1.9,7.3,0.8,,,F
1869-01-05,1869,1,5,-3.9,-3.9,-7.8,-7.8,-5.8,-5.8,3.9,0,,,F
1869-01-06,1869,1,6,5.6,5.6,-3.3,-3.3,1.1,1.1,8.9,0,,,F
1869-01-07,1869,1,7,4.4,4.4,0,0,2.2,2.2,4.4,0,,,F
1869-01-08,1869,1,8,-1.7,-1.7,-3.3,-3.3,-2.5,-2.5,1.6,0,,,F
1869-01-09,1869,1,9,-5,-5,-12.8,-12.8,-8.9,-8.9,7.8,0,,,F
1869-01-10,1869,1,10,-10.6,-10.6,-17.8,-17.8,-14.2,-14.2,7.2,28.4,,,F
1869-01-11,1869,1,11,-11.7,-11.7,-23.9,-23.9,-17.8,-17.8,12.2,0,,,F
1869-01-12,1869,1,12,-3.9,-3.9,-16.7,-16.7,-10.3,-10.3,12.8,0,,,F
1869-01-13,1869,1,13,1.1,1.1,-1.7,-1.7,-0.3,-0.3,2.8,0,,,F
1869-01-14,1869,1,14,0.6,0.6,-6.7,-6.7,-3.1,-3.1,7.3,0,,,F
1869-01-15,1869,1,15,-1.7,-1.7,-7.2,-7.2,-4.4,-4.4,5.5,0,,,F
1869-01-16,1869,1,16,-1.7,-1.7,-10,-10,-5.8,-5.8,8.3,0,,,F
1869-01-17,1869,1,17,-4.4,-4.4,-7.2,-7.2,-5.8,-5.8,2.8,0,,,F
1869-01-18,1869,1,18,-2.8,-2.8,-6.7,-6.7,-4.7,-4.7,3.9,0,,,F
1869-01-19,1869,1,19,-2.2,-2.2,-8.3,-8.3,-5.3,-5.3,6.1,0,,,F
1869-01-20,1869,1,20,0,0,-5,-5,-2.5,-2.5,5,0,,,F
1869-01-22,1869,1,22,-3.3,-3.3,-6.7,-6.7,-5,-5,3.4,0,,,F
1869-01-23,1869,1,23,0.6,0.6,-5.6,-5.6,-2.5,-2.5,6.2,0,,,F
1869-01-24,1869,1,24,-3.9,-3.9,-7.8,-7.8,-5.8,-5.8,3.9,0,,,F
1869-01-25,1869,1,25,-13.9,-13.9,-20.6,-20.6,-17.2,-17.2,6.7,0,,,F
1869-01-26,1869,1,26,-8.9,-8.9,-17.2,-17.2,-13.1,-13.1,8.3,0,,,F
1869-01-27,1869,1,27,0.6,0.6,-5.6,-5.6,-2.5,-2.5,6.2,1.5,,,F
1869-01-28,1869,1,28,0.6,0.6,-1.7,-1.7,-0.6,-0.6,2.3,0,,,F
1869-01-29,1869,1,29,1.1,1.1,-0.6,-0.6,0.3,0.3,1.7,24.9,,,F
1869-01-30,1869,1,30,-7.2,-7.2,-12.2,-12.2,-9.7,-9.7,5,0,,,F
1869-01-31,1869,1,31,-6.7,-6.7,-14.4,-14.4,-10.6,-10.6,7.7,0,,,F
1869-02-01,1869,2,32,0,0,-5.6,-5.6,-2.8,-2.8,5.6,0,,,F
1869-02-02,1869,2,33,-0.6,-0.6,-1.7,-1.7,-1.1,-1.1,1.1,0,,,F
1869-02-03,1869,2,34,-4.4,-4.4,-8.9,-8.9,-6.7,-6.7,4.5,22.9,,,F
1869-02-04,1869,2,35,-11.1,-11.1,-16.7,-16.7,-13.9,-13.9,5.6,0,,,F
1869-02-05,1869,2,36,-7.2,-7.2,-16.7,-16.7,-11.9,-11.9,9.5,0,,,F
1869-02-06,1869,2,37,-1.1,-1.1,-7.8,-7.8,-4.4,-4.4,6.7,0,,,F
1869-02-07,1869,2,38,0,0,-5.6,-5.6,-2.8,-2.8,5.6,0,,,F
1869-02-08,1869,2,39,0.6,0.6,-2.2,-2.2,-0.8,-0.8,2.8,0,,,F
1869-02-09,1869,2,40,3.3,3.3,-1.1,-1.1,1.1,1.1,4.4,0,,,F
1869-02-10,1869,2,41,4.4,4.4,-2.2,-2.2,1.1,1.1,6.6,0,,,F
1869-02-11,1869,2,42,5,5,-3.3,-3.3,0.8,0.8,8.3,0,,,F
1869-02-12,1869,2,43,10,10,4.4,4.4,7.2,7.2,5.6,0,,,F
1869-02-13,1869,2,44,1.7,1.7,0,0,0.8,0.8,1.7,0,,,F
1869-02-14,1869,2,45,2.2,2.2,-1.1,-1.1,0.6,0.6,3.3,33,,,F
1869-02-15,1869,2,46,-2.2,-2.2,-4.4,-4.4,-3.3,-3.3,2.2,0,,,F
1869-02-16,1869,2,47,3.3,3.3,-8.9,-8.9,-2.8,-2.8,12.2,0,,,F
1869-02-17,1869,2,48,0,0,-2.2,-2.2,-1.1,-1.1,2.2,3.8,,,F
1869-02-18,1869,2,49,1.1,1.1,-5,-5,-1.9,-1.9,6.1,2.5,,,F
1869-02-19,1869,2,50,0,0,-12.2,-12.2,-6.1,-6.1,12.2,1,,,F
1869-02-20,1869,2,51,-6.1,-6.1,-8.3,-8.3,-7.2,-7.2,2.2,0.3,,,F
1869-02-21,1869,2,52,-10,-10,-11.7,-11.7,-10.8,-10.8,1.7,0,,,F
1869-02-22,1869,2,53,-10.6,-10.6,-15.6,-15.6,-13.1,-13.1,5,0,,,F
1869-02-23,1869,2,54,-7.8,-7.8,-17.2,-17.2,-12.5,-12.5,9.4,0,,,F
1869-02-24,1869,2,55,-8.9,-8.9,-15,-15,-11.9,-11.9,6.1,0,,,F
1869-02-26,1869,2,57,-11.1,-11.1,-15.6,-15.6,-13.3,-13.3,4.5,0,,,F
1869-02-27,1869,2,58,-10.6,-10.6,-18.3,-18.3,-14.4,-14.4,7.7,0,,,F
1869-02-28,1869,2,59,-5.6,-5.6,-17.8,-17.8,-11.7,-11.7,12.2,1.8,,,F
1869-03-01,1869,3,60,-1.1,-1.1,-10,-10,-5.6,-5.6,8.9,0,,,F
1869-03-02,1869,3,61,1.1,1.1,-6.1,-6.1,-2.5,-2.5,7.2,0,,,F
1869-03-03,1869,3,62,-0.6,-0.6,-10,-10,-5.3,-5.3,9.4,0,,,F
1869-03-04,1869,3,63,-17.8,-17.8,-22.2,-22.2,-20,-20,4.4,0,,,F
1869-03-05,1869,3,64,-8.9,-8.9,-20,-20,-14.4,-14.4,11.1,0,,,F
1869-03-06,1869,3,65,-14.4,-14.4,-22.2,-22.2,-18.3,-18.3,7.8,0,,,F
1869-03-07,1869,3,66,-3.9,-3.9,-12.2,-12.2,-8.1,-8.1,8.3,0,,,F
1869-03-08,1869,3,67,8.9,8.9,-10,-10,-0.6,-0.6,18.9,0,,,F
1869-03-09,1869,3,68,7.2,7.2,-3.3,-3.3,1.9,1.9,10.5,0,,,F
1869-03-10,1869,3,69,-10,-10,-13.3,-13.3,-11.7,-11.7,3.3,0,,,F
1869-03-11,1869,3,70,-9.4,-9.4,-15.6,-15.6,-12.5,-12.5,6.2,0,,,F
1869-03-12,1869,3,71,-2.8,-2.8,-11.1,-11.1,-6.9,-6.9,8.3,0,,,F
1869-03-13,1869,3,72,-2.2,-2.2,-12.8,-12.8,-7.5,-7.5,10.6,2.5,,,F
1869-03-14,1869,3,73,-6.7,-6.7,-9.4,-9.4,-8.1,-8.1,2.7,0,,,F
1869-03-15,1869,3,74,-10,-10,-14.4,-14.4,-12.2,-12.2,4.4,0,,,F
1869-03-16,1869,3,75,-8.9,-8.9,-18.3,-18.3,-13.6,-13.6,9.4,0,,,F
1869-03-17,1869,3,76,-1.7,-1.7,-15,-15,-8.3,-8.3,13.3,0,,,F
1869-03-18,1869,3,77,3.9,3.9,-8.3,-8.3,-2.2,-2.2,12.2,0,,,F
1869-03-19,1869,3,78,2.8,2.8,-1.1,-1.1,0.8,0.8,3.9,5.3,,,F
1869-03-20,1869,3,79,1.7,1.7,-0.6,-0.6,0.6,0.6,2.3,0,,,F
1869-03-21,1869,3,80,1.1,1.1,-3.9,-3.9,-1.4,-1.4,5,0,,,F
1869-03-22,1869,3,81,1.1,1.1,-3.9,-3.9,-1.4,-1.4,5,0,,,F
1869-03-23,1869,3,82,7.8,7.8,-1.1,-1.1,3.3,3.3,8.9,0,,,F
1869-03-24,1869,3,83,6.7,6.7,0.6,0.6,3.6,3.6,6.1,0,,,F
1869-03-25,1869,3,84,10,10,1.7,1.7,5.8,5.8,8.3,4.6,,,F
1869-03-26,1869,3,85,5.6,5.6,2.2,2.2,3.9,3.9,3.4,0,,,F
1869-03-27,1869,3,86,11.7,11.7,0.6,0.6,6.1,6.1,11.1,0,,,F
1869-03-28,1869,3,87,12.2,12.2,6.7,6.7,9.4,9.4,5.5,7.6,,,F
1869-03-29,1869,3,88,15,15,5.6,5.6,10.3,10.3,9.4,0,,,F
1869-03-30,1869,3,89,7.2,7.2,0,0,3.6,3.6,7.2,0,,,F
1869-04-01,1869,4,91,-2.2,-2.2,-7.2,-7.2,-4.7,-4.7,5,11.4,,,F
1869-04-02,1869,4,92,-2.8,-2.8,-11.1,-11.1,-6.9,-6.9,8.3,0,,,F
1869-04-03,1869,4,93,-1.1,-1.1,-8.3,-8.3,-4.7,-4.7,7.2,0,,,F
1869-04-04,1869,4,94,4.4,4.4,-2.8,-2.8,0.8,0.8,7.2,0,,,F
1869-04-05,1869,4,95,7.2,7.2,2.2,2.2,4.7,4.7,5,0,,,F
1869-04-06,1869,4,96,5,5,1.7,1.7,3.3,3.3,3.3,0,,,F
1869-04-07,1869,4,97,10,10,2.2,2.2,6.1,6.1,7.8,0,,,F
1869-04-08,1869,4,98,8.9,8.9,1.7,1.7,5.3,5.3,7.2,0,,,F
1869-04-09,1869,4,99,9.4,9.4,1.1,1.1,5.3,5.3,8.3,0,,,F
1869-04-10,1869,4,100,3.3,3.3,-0.6,-0.6,1.4,1.4,3.9,0,,,F
1869-04-11,1869,4,101,4.4,4.4,-1.1,-1.1,1.7,1.7,5.5,0,,,F
1869-04-12,1869,4,102,3.3,3.3,-1.7,-1.7,0.8,0.8,5,0,,,F
1869-04-13,1869,4,103,1.7,1.7,-3.3,-3.3,-0.8,-0.8,5,2,,,F
1869-04-14,1869,4,104,6.7,6.7,0,0,3.3,3.3,6.7,0,,,F
1869-04-16,1869,4,106,8.9,8.9,2.2,2.2,5.6,5.6,6.7,14,,,F
1869-04-17,1869,4,107,17.2,17.2,6.1,6.1,11.7,11.7,11.1,0,,,F
1869-04-18,1869,4,108,16.7,16.7,7.2,7.2,11.9,11.9,9.5,40.6,,,F
1869-04-19,1869,4,109,13.3,13.3,7.2,7.2,10.3,10.3,6.1,0,,,F
1869-04-20,1869,4,110,4.4,4.4,2.8,2.8,3.6,3.6,1.6,0,,,F
1869-04-21,1869,4,111,12.8,12.8,2.8,2.8,7.8,7.8,10,0,,,F
1869-04-22,1869,4,112,13.9,13.9,5,5,9.4,9.4,8.9,0,,,F
1869-04-23,1869,4,113,10.6,10.6,7.8,7.8,9.2,9.2,2.8,0,,,F
1869-04-24,1869,4,114,8.9,8.9,5.6,5.6,7.2,7.2,3.3,0,,,F
1869-04-25,1869,4,115,14.4,14.4,8.3,8.3,11.4,11.4,6.1,0,,,F
1869-04-26,1869,4,116,10,10,6.7,6.7,8.3,8.3,3.3,5.1,,,F
1869-04-28,1869,4,118,13.3,13.3,10.6,10.6,11.9,11.9,2.7,5.1,,,F
1869-04-29,1869,4,119,12.2,12.2,5.6,5.6,8.9,8.9,6.6,3.8,,,F
1869-04-30,1869,4,120,10,10,2.8,2.8,6.4,6.4,7.2,0,,,F
1869-05-01,1869,5,121,12.8,12.8,1.7,1.7,7.2,7.2,11.1,0,,,F
1869-05-02,1869,5,122,12.2,12.2,7.2,7.2,9.7,9.7,5,0,,,F
1869-05-03,1869,5,123,16.1,16.1,6.7,6.7,11.4,11.4,9.4,0,,,F
1869-05-04,1869,5,124,23.3,23.3,11.1,11.1,17.2,17.2,12.2,0,,,F
1869-05-05,1869,5,125,10,10,7.2,7.2,8.6,8.6,2.8,7.6,,,F
1869-05-06,1869,5,126,12.2,12.2,7.8,7.8,10,10,4.4,0,,,F
1869-05-07,1869,5,127,13.3,13.3,5.6,5.6,9.4,9.4,7.7,0,,,F
1869-05-09,1869,5,129,22.8,22.8,12.8,12.8,17.8,17.8,10,0,,,F
1869-05-10,1869,5,130,25.6,25.6,14.4,14.4,20,20,11.2,5.3,,,F
1869-05-11,1869,5,131,16.7,16.7,15.6,15.6,16.1,16.1,1.1,3,,,F
1869-05-12,1869,5,132,12.2,12.2,7.8,7.8,10,10,4.4,0,,,F
1869-05-13,1869,5,133,8.9,8.9,6.7,6.7,7.8,7.8,2.2,12.7,,,F
1869-05-14,1869,5,134,16.1,16.1,7.8,7.8,11.9,11.9,8.3,0,,,F
1869-05-15,1869,5,135,14.4,14.4,8.3,8.3,11.4,11.4,6.1,10.4,,,F
1869-05-16,1869,5,136,11.7,11.7,6.7,6.7,9.2,9.2,5,0,,,F
1869-05-17,1869,5,137,10,10,5.6,5.6,7.8,7.8,4.4,0,,,F
1869-05-18,1869,5,138,11.1,11.1,7.2,7.2,9.2,9.2,3.9,0,,,F
1869-05-19,1869,5,139,15.6,15.6,10.6,10.6,13.1,13.1,5,0,,,F
1869-05-20,1869,5,140,11.1,11.1,8.3,8.3,9.7,9.7,2.8,0,,,F
1869-05-22,1869,5,142,16.7,16.7,11.1,11.1,13.9,13.9,5.6,0,,,F
1869-05-23,1869,5,143,22.2,22.2,15,15,18.6,18.6,7.2,0,,,F
1869-05-24,1869,5,144,22.8,22.8,15,15,18.9,18.9,7.8,0,,,F
1869-05-25,1869,5,145,27.8,27.8,18.9,18.9,23.3,23.3,8.9,0,,,F
1869-05-26,1869,5,146,17.8,17.8,7.2,7.2,12.5,12.5,10.6,52.1,,,F
1869-05-27,1869,5,147,8.9,8.9,6.7,6.7,7.8,7.8,2.2,15.2,,,F
1869-05-28,1869,5,148,10,10,6.7,6.7,8.3,8.3,3.3,14.2,,,F
1869-05-29,1869,5,149,15.6,15.6,8.9,8.9,12.2,12.2,6.7,0,,,F
1869-05-30,1869,5,150,17.2,17.2,13.3,13.3,15.3,15.3,3.9,0,,,F
1869-05-31,1869,5,151,21.1,21.1,13.9,13.9,17.5,17.5,7.2,3.8,,,F
1869-06-01,1869,6,152,23.9,23.9,16.7,16.7,20.3,20.3,7.2,0,,,F
1869-06-03,1869,6,154,25.6,25.6,18.9,18.9,22.2,22.2,6.7,0,,,F
1869-06-04,1869,6,155,17.8,17.8,13.3,13.3,15.6,15.6,4.5,0,,,F
1869-06-05,1869,6,156,15,15,8.9,8.9,11.9,11.9,6.1,0,,,F
1869-06-06,1869,6,157,15,15,9.4,9.4,12.2,12.2,5.6,0,,,F
1869-06-07,1869,6,158,21.7,21.7,11.1,11.1,16.4,16.4,10.6,0,,,F
1869-06-08,1869,6,159,21.1,21.1,16.7,16.7,18.9,18.9,4.4,0,,,F
1869-06-09,1869,6,160,19.4,19.4,15,15,17.2,17.2,4.4,15.5,,,F
1869-06-10,1869,6,161,18.3,18.3,10.6,10.6,14.4,14.4,7.7,0,,,F
1869-06-11,1869,6,162,22.2,22.2,15.6,15.6,18.9,18.9,6.6,0,,,F
1869-06-12,1869,6,163,18.9,18.9,15.6,15.6,17.2,17.2,3.3,22.9,,,F
1869-06-14,1869,6,165,13.3,13.3,11.1,11.1,12.2,12.2,2.2,5.1,,,F
1869-06-15,1869,6,166,13.9,13.9,10,10,11.9,11.9,3.9,0,,,F
1869-06-16,1869,6,167,17.8,17.8,11.7,11.7,14.7,14.7,6.1,0,,,F
