"site_id","park_code","park_district","park_name","point_code","point_location","park_acreage"
"WF-use","WF","","Werner's Field","","",
"WR-100","WR","","Werner's Field Park","","",
"WR-200","WR","","Werner's Field Park","","",
"WR-400","WR","","Werner's Field Park","","",
"WR-800","WR","","Werner's Field Park","","",
"WR-C","WR","NW","Werner's Field Park","C   ","",
"WR-E","WR","NW","Werner's Field Park","E   ","",
"WR-N","WR","NW","Werner's Field Park","N   ","",
"WR-S","WR","NW","Werner's Field Park","S   ","",
"WR-SW","WR","","Werner's Field Park","SW  ","",
"WR-W","WR","NW","Werner's Field Park","W   ","",
"WS-100","WS","","Western Star","","",
"WS-200","WS","","Western Star","","",
"WS-400","WS","","Western Star","","",
"WS-800","WS","","Western Star","","",
"WS-C","WS","SE","Western Star","C   ","",
"WS-E","WS","SE","Western Star","E   ","",
"WS-N","WS","SE","Western Star","N   ","",
"WS-NE","WS","","Western Star","NE  ","",
"WS-NW","WS","","Western Star","NW  ","",
"WS-PM1","WS","SE","Western Star","","",
"WS-PM2","WS","SE","Western Star","","",
"WS-S","WS","SE","Western Star","S   ","",
"WS-SE","WS","","Western Star","SE  ","",
"WS-SW","WS","","Western Star","SW  ","",
"WS-use","WS","","Western Star","","",
"WS-W","WS","SE","Western Star","W   ","",
"WT-100","WT","","Westown","","",
"WT-200","WT","","Westown","","",
"WT-400","WT","","Westown","","",
"WT-800","WT","","Westown","","",
"WT-C","WT","NW","Westown","C   ","",
"WT-E","WT","NW","Westown","E   ","",
"WT-N","WT","NW","Westown","N   ","",
"WT-S","WT","NW","Westown","S   ","",
"WT-SW","WT","","Westown","SW  ","",
"WT-use","WT","","Westown","","",
"WT-W","WT","NW","Westown","W   ","",
