"site_id","survey_id","survey_date","time_start","time_end","observer","wind_speed","wind_dir","air_temp","temp_units","cloud_cover","notes"
"CA-N",26,"2000-12-26 00:00:00","1899-12-30 08:45:00","1899-12-30 09:00:00","D. Stuart",10,"",40,"F",0,"noise from street construction on Pathfinder -- and trucks.  View to SE blocked by house.  Very few birds!"
"CA-E",45,"2000-12-26 00:00:00","1899-12-30 10:00:00","1899-12-30 10:15:00","D. Stuart",10,"",50,"F",0,"a few cars going by, one coming out of garage next to observer"
"CG-N",47,"2000-12-16 00:00:00","1899-12-30 09:40:00","1899-12-30 09:55:00","D. Stuart",5,"",45,"F",0,"watch stopped working, estimated time interval.  Some traffic on Country Gables Rd."
"CG-S",49,"2000-12-16 00:00:00","1899-12-30 10:30:00","1899-12-30 10:45:00","D. Stuart",5,"",45,"F",0,"Watch not functioning, estimated interval. Lots of activity! Many washing SUV and 3 kids in street on skateboards and scooters. Van drove up and parked next to observer.  8 people in one front yard. Church people going door-to-door.  Plumber cranked up roto-rooter at end of survey - no more hearing birds."
"NU-W",265,"2001-03-08 00:00:00","1899-12-30 07:35:00","1899-12-30 07:50:00","B. Rambo",5,"",50,"F",90,""
"HY-C",270,"2001-03-08 00:00:00","1899-12-30 09:20:00","1899-12-30 09:35:00","B. Rambo",5,"",55,"F",90,""
"CH-S",54,"2000-12-12 00:00:00","1899-12-30 08:40:00","1899-12-30 08:55:00","B. Rambo",10,"E",45,"F",10,"construction work nearby"
"CH-C",56,"2001-01-02 00:00:00","1899-12-30 10:20:00","1899-12-30 10:35:00","J. Lemmer",0,"",60,"F",10,"family playing on playground midway through survey"
"CH-S",58,"2001-01-02 00:00:00","1899-12-30 10:10:00","1899-12-30 11:25:00","J. Lemmer",0,"",65,"F",5,"garbage truck drove through midway through survey"
"CH-W",60,"2001-01-03 00:00:00","1899-12-30 07:50:00","1899-12-30 08:05:00","J. Lemmer",0,"",53,"F",0,"morning commuters leaving for work"
"CH-N",62,"2000-12-27 00:00:00","1899-12-30 11:00:00","1899-12-30 11:15:00","D. Stuart",5,"",60,"F",0,"view to NW blocked by house.
lots of ORJU seen in east side of park while walking to CH-E."
"CH-C",64,"2000-12-27 00:00:00","1899-12-30 10:10:00","1899-12-30 10:25:00","D. Stuart",5,"",60,"F",0,"many kids and adults in play area including teens.  Noisy.  Also kids on bikes, kids with squeaky toys, people with dogs."
"DW-C",66,"2000-12-28 00:00:00","1899-12-30 07:55:00","1899-12-30 08:10:00","J. Lemmer",0,"",38,"F",0,"park visitors walking by at beginning of survey"
"DW-W",68,"2000-12-28 00:00:00","1899-12-30 09:30:00","1899-12-30 09:45:00","J. Lemmer",0,"",45,"F",0,""
"DW-N",70,"2000-12-24 00:00:00","1899-12-30 09:15:00","1899-12-30 09:30:00","D. Stuart",0,"",40,"F",10,"view SE partly blocked by house.   Loud truck drove by and other cars pulling in and out of driveways during survey.
CORA seen circling off to West on approach to point. HAHA seen flying over park to south."
"DW-W",72,"2000-12-24 00:00:00","1899-12-30 10:05:00","1899-12-30 10:20:00","D. Stuart",5,"",50,"F",10,"some traffic on 40th st., a few pedestrians in survey area."
"DW-E",74,"2000-12-24 00:00:00","1899-12-30 10:55:00","1899-12-30 11:10:00","D. Stuart",5,"",55,"F",20,"view restricted to S. by houses.
Person drove up driveway and unloaded bikes.  Another car arrived 2 houses down."
"CA-N",76,"2000-12-29 00:00:00","1899-12-30 07:50:00","1899-12-30 08:05:00","B. Rambo",5,"E",50,"F",0,""
"CA-W",78,"2000-12-29 00:00:00","1899-12-30 08:40:00","1899-12-30 08:55:00","B. Rambo",0,"",50,"F",0,""
"DW-C",80,"2000-12-29 00:00:00","1899-12-30 09:40:00","1899-12-30 09:55:00","B. Rambo",0,"",50,"F",0,"noisy kids"
"DW-W",82,"2000-12-29 00:00:00","1899-12-30 10:30:00","1899-12-30 10:45:00","B. Rambo",0,"",50,"F",0,""
"DW-N",84,"2000-12-29 00:00:00","1899-12-30 11:20:00","1899-12-30 11:35:00","B. Rambo",0,"",50,"F",0,"people present during survey"
"CH-N",86,"2000-12-28 00:00:00","1899-12-30 07:50:00","1899-12-30 08:05:00","B. Rambo",0,"",45,"F",10,"garbage pick-up during survey"
"AT-S",87,"2000-12-28 00:00:00","1899-12-30 09:05:00","1899-12-30 09:20:00","B. Rambo",0,"",45,"F",,""
"AT-W",88,"2000-12-28 00:00:00","1899-12-30 09:55:00","1899-12-30 10:10:00","B. Rambo",0,"",45,"F",,""
"AT-C",89,"2000-12-28 00:00:00","1899-12-30 08:15:00","1899-12-30 08:30:00","B. Rambo",0,"",45,"F",10,""
"AT-E",90,"2000-12-28 00:00:00","1899-12-30 09:30:00","1899-12-30 09:45:00","B. Rambo",0,"",45,"F",,""
"AT-N",91,"2000-12-28 00:00:00","1899-12-30 08:40:00","1899-12-30 08:55:00","B. Rambo",0,"",45,"F",,""
"EA-C",92,"2000-12-07 00:00:00","1899-12-30 07:42:00","1899-12-30 07:53:00","J. Lemmer",0,"",44,"F",5,""
"EA-W",93,"2000-12-08 00:00:00","1899-12-30 07:20:00","1899-12-30 07:35:00","J. Lemmer",0,"",40,"F",5,"factory noise makes songs hard to hear"
"EA-E",94,"2000-12-08 00:00:00","1899-12-30 08:32:00","1899-12-30 08:47:00","J. Lemmer",0,"",55,"F",0,"school bus passed and stopped within survey area"
"EA-N",95,"2000-12-08 00:00:00","1899-12-30 08:01:00","1899-12-30 08:16:00","J. Lemmer",3,"E",50,"F",0,""
"EA-S",96,"2000-12-08 00:00:00","1899-12-30 08:58:00","1899-12-30 09:13:00","J. Lemmer",3,"E",55,"F",0,"train changing cars blocking view to North.
Low flying planes creating noise.
15 MODO and 12 HOFI scared out of hiding by train before count began."
"ED-C",97,"2000-12-08 00:00:00","1899-12-30 09:48:00","1899-12-30 10:03:00","J. Lemmer",5,"NE",62,"F",0,""
"ED-W",98,"2000-12-08 00:00:00","1899-12-30 09:28:00","1899-12-30 09:42:00","J. Lemmer",5,"NE",60,"F",0,""
"ED-E",99,"2000-12-08 00:00:00","1899-12-30 11:15:00","1899-12-30 11:30:00","J. Lemmer",2,"E",73,"F",5,""
"ED-S",100,"2000-12-08 00:00:00","1899-12-30 10:42:00","1899-12-30 10:57:00","J. Lemmer",2,"E",70,"F",0,""
"ED-N",101,"2000-12-08 00:00:00","1899-12-30 10:10:00","1899-12-30 10:25:00","J. Lemmer",2,"E",65,"F",0,""
"HR-C",102,"2000-12-13 00:00:00","1899-12-30 10:35:00","1899-12-30 10:50:00","J. Lemmer",2,"SE",60,"F",25,""
"HR-W",103,"2000-12-13 00:00:00","1899-12-30 10:05:00","1899-12-30 10:20:00","J. Lemmer",4,"SE",56,"F",15,"clouds coming in"
"HR-E",104,"2000-12-15 00:00:00","1899-12-30 10:33:00","1899-12-30 10:48:00","J. Lemmer",5,"SE",53,"F",0,""
"HR-N",105,"2000-12-15 00:00:00","1899-12-30 10:10:00","1899-12-30 10:25:00","J. Lemmer",2,"SE",53,"F",0,"loud traffic and street sweepers coming by at beginning of survey"
"HR-S",106,"2000-12-15 00:00:00","1899-12-30 10:55:00","1899-12-30 11:10:00","J. Lemmer",5,"E",55,"F",0,""
"HR-N",107,"2001-01-11 00:00:00","1899-12-30 08:40:00","1899-12-30 08:55:00","D. Stuart",10,"",50,"F",40,"a lot of traffic and noise"
"HR-W",108,"2001-01-11 00:00:00","1899-12-30 09:05:00","1899-12-30 09:20:00","D. Stuart",5,"NW",50,"F",40,"view to west blocked by building and view to ne blocked by parking structure.
Fair amount of car and pedestrian traffic through lot."
"HR-C",109,"2001-01-11 00:00:00","1899-12-30 09:30:00","1899-12-30 09:45:00","D. Stuart",10,"NW",50,"F",40,"view to east partly blocked by tennis building.
Re-roofing going on on several apartments 100m NE and E - noise."
"HR-E",110,"2001-01-11 00:00:00","1899-12-30 09:55:00","1899-12-30 10:10:00","D. Stuart",10,"",50,"F",40,"view to NW and NE partly blocked by apartment buildings.
Winds increasing over survey time."
"HR-S",111,"2001-01-11 00:00:00","1899-12-30 10:20:00","1899-12-30 10:35:00","D. Stuart",10,"",50,"F",40,"numerous aircraft flying over
man on riding mower on lawn to east.
One homeowner asked what I was doing."
"HY-C",112,"2000-12-01 00:00:00","1899-12-30 10:02:00","1899-12-30 10:17:00","J. Lemmer",4,"SE",55,"F",0,"factory noise.
Flood irrigation in this park."
"HY-W",113,"2000-12-11 00:00:00","1899-12-30 09:15:00","1899-12-30 09:30:00","J. Lemmer",0,"",58,"F",0,"heavy traffic, loud"
"HY-E",114,"2000-12-11 00:00:00","1899-12-30 10:55:00","1899-12-30 11:10:00","J. Lemmer",5,"SE",62,"F",0,"bird baths and feeders at hous - 113 W"
"HY-S",115,"2000-12-11 00:00:00","1899-12-30 09:40:00","1899-12-30 09:55:00","J. Lemmer",2,"SE",55,"F",0,""
"HY-N",116,"2000-12-11 00:00:00","1899-12-30 10:30:00","1899-12-30 10:45:00","J. Lemmer",5,"SW",57,"F",0,"talked to…"
"HY-C",117,"2001-01-05 00:00:00","1899-12-30 10:50:00","1899-12-30 11:05:00","D. Stuart",5,"",60,"F",80,"transient sleeping on picnic bench under ramada. Kids in play area."
"HY-S",118,"2001-01-05 00:00:00","1899-12-30 11:15:00","1899-12-30 11:30:00","D. Stuart",5,"",60,"F",90,"""pastures appear to be more influence than park""
ice cream truck drove by midway throug survey, kids out playing, loud music"
"HY-N",119,"2001-01-06 00:00:00","1899-12-30 08:55:00","1899-12-30 09:10:00","D. Stuart",5,"",60,"F",100,"overcast w/light sprinkles
loose dogs and domestic chickens, kids out playing, some traffic on dirt road"
"HY-W",120,"2001-01-06 00:00:00","1899-12-30 09:20:00","1899-12-30 09:35:00","D. Stuart",5,"",60,"F",100,"overcast w/light sprinkles
lots of traffic on 7th Ave.,  very few birds, noisy
20+ GTGR in snag 1/4 mile west on Corona"
"HY-E",121,"2001-01-06 00:00:00","1899-12-30 09:45:00","1899-12-30 10:00:00","D. Stuart",5,"",60,"F",100,"overcast w/light sprinkles
man who owns SE corner house came out to talk - 5 minutes.  Talked about project.
Ice cream truck again."
"HY-C",122,"2000-12-22 00:00:00","1899-12-30 07:25:00","1899-12-30 07:40:00","B. Rambo",0,"",45,"F",0,"yard worker present"
"HY-E",123,"2000-12-22 00:00:00","1899-12-30 07:50:00","1899-12-30 08:05:00","B. Rambo",0,"",45,"F",0,""
"HY-W",124,"2000-12-22 00:00:00","1899-12-30 08:40:00","1899-12-30 08:55:00","B. Rambo",0,"",45,"F",0,"traffic"
"HY-S",125,"2000-12-22 00:00:00","1899-12-30 08:15:00","1899-12-30 08:30:00","B. Rambo",0,"",45,"F",0,"dogs, children, roosters"
"HY-N",126,"2000-12-22 00:00:00","1899-12-30 09:05:00","1899-12-30 09:20:00","B. Rambo",0,"",45,"F",0,"roosters"
"HR-W",127,"2000-12-22 00:00:00","1899-12-30 10:00:00","1899-12-30 10:15:00","B. Rambo",0,"",45,"F",0,"people"
"HR-C",128,"2000-12-22 00:00:00","1899-12-30 09:35:00","1899-12-30 09:50:00","B. Rambo",0,"",45,"F",0,"people"
"HR-S",129,"2000-12-22 00:00:00","1899-12-30 10:50:00","1899-12-30 11:05:00","B. Rambo",0,"",45,"F",0,"people"
"HY-W",272,"2001-03-08 00:00:00","1899-12-30 09:45:00","1899-12-30 10:00:00","B. Rambo",5,"",55,"F",90,""
"CA-W",27,"2000-12-26 00:00:00","1899-12-30 09:10:00","1899-12-30 09:25:00","D. Stuart",5,"",45,"F",0,"kids playing in back yard (for latter part of survey)"
"CA-C",28,"2000-12-26 00:00:00","1899-12-30 09:35:00","1899-12-30 09:50:00","D. Stuart",10,"",50,"F",0,""
"CA-S",29,"2000-12-26 00:00:00","1899-12-30 10:25:00","1899-12-30 10:40:00","D. Stuart",10,"",55,"F",0,"View to SE, S, SW blocked by houses.  Wind gusty.  4 small kids on skateboards and scooters down the street during survey.  Nice chat with fellow visiting neighborhood."
"AT-W",30,"2000-12-28 00:00:00","1899-12-30 09:15:00","1899-12-30 09:30:00","D. Stuart",0,"",40,"F",0,"Some traffic along 36th St. and Altadena.  Domestic geese heard in back yard."
"AT-N",31,"2000-12-28 00:00:00","1899-12-30 09:40:00","1899-12-30 09:55:00","D. Stuart",0,"",45,"F",0,"motorcycle started in driveway creating noise at end of survey."
"AT-E",32,"2000-12-28 00:00:00","1899-12-30 10:05:00","1899-12-30 10:20:00","D. Stuart",0,"",50,"F",0,"eerily quiet 1st 10 minutes.  SUV pulled in driveway, unloaded sander, and cranked it up partway through survey."
"AT-S",33,"2000-12-28 00:00:00","1899-12-30 10:30:00","1899-12-30 10:45:00","D. Stuart",0,"",50,"F",0,"kids on scooters in school yard"
"AT-C",34,"2000-12-28 00:00:00","1899-12-30 10:55:00","1899-12-30 11:10:00","D. Stuart",0,"",55,"F",0,"group of noisy kids on play equipment and razor scooters"
"CG-W",35,"2000-12-13 00:00:00","1899-12-30 10:00:00","1899-12-30 10:15:00","B. Rambo",5,"E",45,"F",20,""
"CG-N",36,"2000-12-13 00:00:00","1899-12-30 11:15:00","1899-12-30 11:30:00","B. Rambo",5,"E",45,"F",20,""
"CG-S",37,"2000-12-13 00:00:00","1899-12-30 10:25:00","1899-12-30 10:40:00","B. Rambo",5,"E",45,"F",20,""
"CG-E",38,"2000-12-13 00:00:00","1899-12-30 10:50:00","1899-12-30 11:05:00","B. Rambo",5,"E",45,"F",20,""
"CG-N",39,"2001-01-04 00:00:00","1899-12-30 11:14:00","1899-12-30 11:31:00","J. Lemmer",3,"E",65,"F",0,"talked to residents for 2min during survey"
"CG-C",40,"2001-01-04 00:00:00","1899-12-30 09:45:00","1899-12-30 10:00:00","J. Lemmer",0,"",60,"F",0,""
"CG-W",41,"2001-01-04 00:00:00","1899-12-30 10:05:00","1899-12-30 10:20:00","J. Lemmer",0,"",61,"F",0,""
"CG-E",42,"2001-01-04 00:00:00","1899-12-30 10:30:00","1899-12-30 10:45:00","J. Lemmer",0,"",65,"F",0,""
"CG-S",43,"2001-01-04 00:00:00","1899-12-30 10:50:00","1899-12-30 11:05:00","J. Lemmer",3,"E",65,"F",0,""
"CG-C",44,"2000-12-16 00:00:00","1899-12-30 08:50:00","1899-12-30 09:05:00","D. Stuart",5,"",40,"F",0,"My watch stopped. Adjusted all based on car clock.  Fair amount of human activity around perimeter and a couple of barking dogs."
"CG-E",46,"2000-12-16 00:00:00","1899-12-30 09:15:00","1899-12-30 09:30:00","D. Stuart",5,"",40,"F",0,""
"CG-W",48,"2000-12-16 00:00:00","1899-12-30 10:05:00","1899-12-30 10:20:00","D. Stuart",5,"",45,"F",0,"watch stopped functioning, interval was estimated. Edger in back yard of cul de sac house"
"CH-C",50,"2000-12-12 00:00:00","1899-12-30 07:25:00","1899-12-30 07:40:00","B. Rambo",5,"",45,"F",10,""
"NU-S",267,"2001-03-08 00:00:00","1899-12-30 08:00:00","1899-12-30 08:15:00","B. Rambo",5,"",50,"F",90,""
"NU-N",269,"2001-03-08 00:00:00","1899-12-30 08:50:00","1899-12-30 09:05:00","B. Rambo",5,"",50,"F",90,""
"CH-E",57,"2001-01-02 00:00:00","1899-12-30 10:45:00","1899-12-30 11:02:00","J. Lemmer",2,"SW",65,"F",5,"talked to neighbor for 2 min. in middle of survey"
"CH-N",59,"2001-01-03 00:00:00","1899-12-30 08:17:00","1899-12-30 08:32:00","J. Lemmer",0,"",55,"F",0,""
"CH-E",61,"2000-12-27 00:00:00","1899-12-30 11:20:00","1899-12-30 11:35:00","D. Stuart",10,"",65,"F",0,"lots of traffic on Cholla - noisy, fast.  Saw lots of ORJU next to parking lot when walking back to car."
"CH-W",63,"2000-12-27 00:00:00","1899-12-30 10:35:00","1899-12-30 10:50:00","D. Stuart",0,"",55,"F",0,"one SUV drove by"
"CH-S",65,"2000-12-28 00:00:00","1899-12-30 11:20:00","1899-12-30 11:35:00","D. Stuart",5,"",60,"F",0,"man using jackhammer on driveway of house next to point.  Impossible to hear birds except between bursts."
"DW-E",67,"2000-12-28 00:00:00","1899-12-30 08:22:00","1899-12-30 08:37:00","J. Lemmer",0,"",39,"F",0,""
"DW-S",69,"2000-12-28 00:00:00","1899-12-30 09:52:00","1899-12-30 10:08:00","J. Lemmer",0,"",48,"F",0,""
"DW-C",71,"2000-12-24 00:00:00","1899-12-30 09:40:00","1899-12-30 09:55:00","D. Stuart",0,"",45,"F",10,"kids playing on play equipment.

NOMO seen to SW after count
KILL heard to NE after count"
"DW-S",73,"2000-12-24 00:00:00","1899-12-30 10:30:00","1899-12-30 10:45:00","D. Stuart",5,"",50,"F",20,"man parked in front of house and unloaded car.  Aircraft and traffic noise occasionally blocking bird calls.

GBHE seen flying to SE after count
HOSP - probably more of these around than counted
GHOW - resident has seen one perching on light pole in survey area for 2-3 years.  Also, a smaller owl (Western Screech Owl??)."
"CA-C",75,"2000-12-29 00:00:00","1899-12-30 07:25:00","1899-12-30 07:40:00","B. Rambo",0,"",50,"F",0,"garbage pick-up occurred during survey"
"CA-S",77,"2000-12-29 00:00:00","1899-12-30 08:15:00","1899-12-30 08:30:00","B. Rambo",0,"",50,"F",0,""
"CA-E",79,"2000-12-29 00:00:00","1899-12-30 09:05:00","1899-12-30 09:20:00","B. Rambo",0,"",50,"F",0,""
"DW-E",81,"2000-12-29 00:00:00","1899-12-30 10:05:00","1899-12-30 10:20:00","B. Rambo",0,"",50,"F",0,"dogs, people"
"DW-S",83,"2000-12-29 00:00:00","1899-12-30 10:55:00","1899-12-30 11:10:00","B. Rambo",0,"",50,"F",0,""
"CH-W",85,"2000-12-28 00:00:00","1899-12-30 07:25:00","1899-12-30 07:40:00","B. Rambo",0,"",45,"F",10,""
"HR-E",130,"2000-12-22 00:00:00","1899-12-30 10:25:00","1899-12-30 10:40:00","B. Rambo",0,"",45,"F",0,"air traffic"
"WR-N",215,"2001-01-02 00:00:00","1899-12-30 09:20:00","1899-12-30 09:35:00","J. Lemmer",0,"",55,"F",10,""
"WR-C",217,"2000-12-29 00:00:00","1899-12-30 08:55:00","1899-12-30 09:10:00","D. Stuart",0,"",50,"F",0,"many kids in play area."
"WR-S",219,"2000-12-29 00:00:00","1899-12-30 09:45:00","1899-12-30 10:00:00","D. Stuart",0,"",55,"F",0,"much of view NW, N, and NE blocked by houses.  
Homeowner drove in next to me and flushed MODO's.
Can still hear CACW noted in WR-E.  
AMKE seen on wire, south edge of park while walking to WR-W."
"WR-N",221,"2000-12-29 00:00:00","1899-12-30 10:35:00","1899-12-30 10:50:00","D. Stuart",0,"",60,"F",0,"view NW,N,NE,SE,S, SW blocked by houses.  Kids in park audible from this point."
"WS-W",223,"2000-12-07 00:00:00","1899-12-30 07:55:00","1899-12-30 08:10:00","J. Lemmer",0,"",53,"F",10,""
"WS-N",225,"2000-12-07 00:00:00","1899-12-30 08:20:00","1899-12-30 08:35:00","J. Lemmer",0,"",52,"F",10,"early morning commutesr unloading cars - 3minutes."
"WS-C",227,"2001-01-02 00:00:00","1899-12-30 08:55:00","1899-12-30 09:10:00","D. Stuart",0,"",40,"F",30,"man walking dog came up to me and talked"
"WS-W",229,"2001-01-02 00:00:00","1899-12-30 09:45:00","1899-12-30 10:00:00","D. Stuart",5,"",45,"F",30,"view NW blocked by house.

ORJU seen but no distance/# information is given."
"WS-E",231,"2001-01-02 00:00:00","1899-12-30 10:35:00","1899-12-30 10:50:00","D. Stuart",10,"",45,"F",30,"view to NE partly blocked by house.  People walking dogs, pushing strollers.
NOFL flushed while walking to car, probably same birds as seen in WS-C"
"WT-C",232,"2000-12-13 00:00:00","1899-12-30 07:25:00","1899-12-30 07:40:00","B. Rambo",4,"E",45,"F",10,""
"WT-W",233,"2000-12-13 00:00:00","1899-12-30 07:50:00","1899-12-30 08:05:00","B. Rambo",5,"E",45,"F",10,""
"WT-N",234,"2000-12-13 00:00:00","1899-12-30 08:15:00","1899-12-30 08:30:00","B. Rambo",5,"E",45,"F",10,""
"WT-S",235,"2000-12-13 00:00:00","1899-12-30 08:40:00","1899-12-30 08:55:00","B. Rambo",5,"E",45,"F",10,"sldf"
"WT-E",236,"2001-01-04 00:00:00","1899-12-30 08:45:00","1899-12-30 09:00:00","J. Lemmer",0,"",52,"F",0,"bird feeder SW of corner in residential front yard"
"WT-S",237,"2001-01-04 00:00:00","1899-12-30 09:10:00","1899-12-30 09:25:00","J. Lemmer",0,"",55,"F",0,""
"WT-N",238,"2001-01-04 00:00:00","1899-12-30 08:22:00","1899-12-30 08:37:00","J. Lemmer",0,"",50,"F",0,""
"WT-W",239,"2001-01-04 00:00:00","1899-12-30 08:00:00","1899-12-30 08:15:00","J. Lemmer",0,"",47,"F",0,""
"WT-W",240,"2000-12-18 00:00:00","1899-12-30 08:55:00","1899-12-30 09:10:00","D. Stuart",10,"",45,"F",0,"brief chat with neighbor to explain my presence. 
Birds to E of this spot overlap park observation."
"WT-N",241,"2000-12-18 00:00:00","1899-12-30 09:20:00","1899-12-30 09:35:00","D. Stuart",10,"",45,"F",0,"couple walking by, some traffic but relatively quiet.  Empty school bus arreive near end of count."
"WT-C",242,"2000-12-18 00:00:00","1899-12-30 09:45:00","1899-12-30 10:00:00","D. Stuart",10,"",45,"F",0,""
"WT-S",243,"2000-12-18 00:00:00","1899-12-30 10:10:00","1899-12-30 10:25:00","D. Stuart",10,"",50,"F",0,""
"WT-E",244,"2000-12-18 00:00:00","1899-12-30 10:35:00","1899-12-30 10:50:00","D. Stuart",10,"",50,"F",0,"view SE blocked by corner house.  Tow truck loading car 3 houses down then driving off.  Noise from school yard near park audible at this site.  Neighbor loading rruck in driveway across street."
"LO-E",245,"2000-12-20 00:00:00","1899-12-30 10:05:00","1899-12-30 10:20:00","B. Rambo",0,"",50,"F",5,""
"LO-N",246,"2000-12-20 00:00:00","1899-12-30 10:30:00","1899-12-30 10:45:00","B. Rambo",0,"",50,"F",5,""
"LO-W",247,"2000-12-20 00:00:00","1899-12-30 10:55:00","1899-12-30 11:10:00","B. Rambo",0,"",50,"F",5,"bird feeder"
"LO-S",248,"2000-12-20 00:00:00","1899-12-30 11:20:00","1899-12-30 11:35:00","B. Rambo",5,"NE",50,"F",5,"traffic"
"EA-C",249,"2000-12-19 00:00:00","1899-12-30 07:25:00","1899-12-30 07:40:00","B. Rambo",5,"NE",45,"F",20,""
"EA-S",250,"2000-12-19 00:00:00","1899-12-30 07:50:00","1899-12-30 08:05:00","B. Rambo",5,"NE",45,"F",20,""
"EA-W",251,"2000-12-19 00:00:00","1899-12-30 08:15:00","1899-12-30 08:30:00","B. Rambo",5,"NE",45,"F",20,""
"EA-N",252,"2000-12-19 00:00:00","1899-12-30 08:40:00","1899-12-30 08:55:00","B. Rambo",5,"NE",45,"F",20,""
"EA-E",253,"2000-12-19 00:00:00","1899-12-30 09:05:00","1899-12-30 09:20:00","B. Rambo",5,"NE",45,"F",20,""
"ED-C",254,"2000-12-19 00:00:00","1899-12-30 09:35:00","1899-12-30 09:50:00","B. Rambo",0,"",50,"F",20,"people walking"
"ED-N",255,"2000-12-19 00:00:00","1899-12-30 10:00:00","1899-12-30 10:15:00","B. Rambo",0,"",50,"F",20,""
"ED-W",256,"2000-12-19 00:00:00","1899-12-30 10:25:00","1899-12-30 10:40:00","B. Rambo",0,"",50,"F",20,""
"ED-S",257,"2000-12-19 00:00:00","1899-12-30 10:50:00","1899-12-30 11:05:00","B. Rambo",0,"",50,"F",20,"vehicles and people"
"ED-E",258,"2000-12-19 00:00:00","1899-12-30 11:15:00","1899-12-30 11:30:00","B. Rambo",0,"",50,"F",20,""
