"survey_id","site_id","species_id","distance","bird_count","notes","seen","heard","direction"
1,"EA-C","GTGR","20-40",1,"",0,1,"S "
1,"EA-C","MODO","10-20",1,"",1,0,"SW"
1,"EA-C","HOFI","20-40",2,"",1,0,"SW"
1,"EA-C","HOSP","10-20",5,"at least 5 individuals",1,1,"SW"
1,"EA-C","RODO","FT",5,"",1,0,"NW"
1,"EA-C","GIWO","20-40",1,"",1,1,"W "
2,"EA-W","INDO","10-20",5,"",1,0,"E "
2,"EA-W","RODO","10-20",1,"",1,0,"E "
2,"EA-W","EUST",">40",4,"",1,1,"NE"
2,"EA-W","MODO","10-20",30,"",1,0,"S "
2,"EA-W","MODO","10-20",30,"",1,0,"SW"
2,"EA-W","MODO","10-20",30,"",1,0,"NW"
2,"EA-W","MODO","10-20",30,"",1,0,"N "
2,"EA-W","RODO","FT",1,"",1,0,"N "
2,"EA-W","HOFI","FT",2,"",1,0,"W "
2,"EA-W","GTGR","FT",1,"",1,0,"E "
2,"EA-W","RODO","FT",3,"",1,0,"E "
2,"EA-W","EUST","FT",1,"",1,0,"E "
7,"LO-C","AUWA","10-20",1,"",1,1,"N "
7,"LO-C","KILL","20-40",2,"",1,0,"N "
7,"LO-C","MODO",">40",11,"",1,0,"NE"
7,"LO-C","RODO","FT",1,"",1,0,"NE"
7,"LO-C","RODO",">40",2,"",1,0,"NE"
7,"LO-C","CBTH",">40",1,"",0,1,"E "
7,"LO-C","HOSP","5-10",2,"",1,1,"E "
7,"LO-C","HOSP",">40",5,"",1,1,"E "
7,"LO-C","RODO",">40",20,"",1,0,"E "
7,"LO-C","HOSP",">40",5,"",1,1,"SE"
7,"LO-C","KILL","20-40",1,"",1,1,"SE"
7,"LO-C","INDO","10-20",3,"",1,0,"SE"
7,"LO-C","HOFI","5-10",1,"",1,1,"SE"
7,"LO-C","MODO","10-20",3,"",1,0,"S "
7,"LO-C","ABTO","10-20",1,"",1,1,"W "
7,"LO-C","RODO",">40",1,"",1,0,"SW"
7,"LO-C","EUST","FT",5,"",1,0,"SW"
7,"LO-C","GTGR","FT",5,"",1,1,"SW"
7,"LO-C","GTGR","10-20",2,"",1,1,"W "
7,"LO-C","AUWA","10-20",1,"",1,1,"W "
7,"LO-C","AUWA","20-40",1,"",1,1,"NW"
7,"LO-C","HOFI","10-20",2,"",1,1,"NW"
7,"LO-C","NOMO",">40",1,"",1,0,"W "
8,"ED-N","EUST","0-5",1,"",1,1,"N "
8,"ED-N","EUST","10-20",5,"",1,0,"N "
8,"ED-N","RODO","20-40",2,"",1,0,"N "
8,"ED-N","RODO","FT",2,"",1,0,"N "
8,"ED-N","MODO","10-20",3,"",1,0,"N "
8,"ED-N","AUWA","10-20",1,"",1,1,"NE"
8,"ED-N","MODO","10-20",3,"",1,0,"NE"
8,"ED-N","MODO","10-20",7,"",1,0,"E "
8,"ED-N","RODO","20-40",4,"",1,0,"E "
8,"ED-N","HOSP","5-10",1,"",1,1,"SE"
8,"ED-N","GTGR",">40",5,"",1,0,"S "
8,"ED-N","EUST","20-40",1,"",1,0,"S "
8,"ED-N","HOSP","20-40",5,"",1,1,"SW"
8,"ED-N","VERD","20-40",1,"",1,1,"W "
8,"ED-N","RODO","10-20",1,"",1,0,"W "
8,"ED-N","RODO","20-40",1,"",1,0,"W "
8,"ED-N","RODO","FT",1,"",1,0,"W "
9,"ED-C","RODO","10-20",3,"",1,0,"N "
9,"ED-C","RODO",">40",5,"",1,0,"N "
9,"ED-C","MODO","10-20",1,"",1,0,"NE"
9,"ED-C","HOFI","FT",2,"",1,0,"NE"
9,"ED-C","RODO","FT",4,"",1,0,"NE"
9,"ED-C","RODO",">40",2,"",1,0,"NE"
9,"ED-C","INDO","10-20",1,"",1,0,"E "
9,"ED-C","NOMO","20-40",1,"",1,1,"E "
9,"ED-C","NOMO",">40",1,"",1,1,"E "
9,"ED-C","RODO",">40",4,"",1,0,"E "
9,"ED-C","HOSP","5-10",1,"",1,0,"E "
9,"ED-C","HOSP","10-20",5,"",1,1,"SE"
9,"ED-C","EUST",">40",3,"",1,0,"SE"
9,"ED-C","RODO",">40",1,"",1,0,"SE"
9,"ED-C","HOSP",">40",5,"",1,1,"SW"
9,"ED-C","INDO","20-40",6,"",1,0,"SW"
9,"ED-C","RODO","FT",1,"",1,0,"SW"
9,"ED-C","GTGR","20-40",1,"",1,1,"W "
9,"ED-C","GTGR",">40",3,"",1,1,"W "
10,"WT-C","GTGR",">40",2,"",1,0,"N "
10,"WT-C","EUST",">40",2,"direction not listed in data sheet, North was assumed by proximity of the entry to other north entries",1,0,"N "
10,"WT-C","GTGR","20-40",2,"",1,0,"NW"
10,"WT-C","RODO",">40",4,"",1,0,"NW"
10,"WT-C","HOSP",">40",4,"",1,0,"NW"
10,"WT-C","MODO",">40",2,"",1,0,"SW"
10,"WT-C","MODO","20-40",3,"",1,0,"SW"
10,"WT-C","EUST","20-40",3,"",1,0,"SE"
10,"WT-C","CACW",">40",1,"",0,1,"E "
10,"WT-C","HOSP","20-40",6,"",1,0,"E "
10,"WT-C","MODO","FT",2,"",1,0,"E "
10,"WT-C","MODO","FT",3,"",1,0,"S "
10,"WT-C","GTGR","20-40",1,"",1,0,"S "
10,"WT-C","ANHU","20-40",1,"",0,1,"S "
10,"WT-C","AUWA","20-40",1,"",0,1,"SE"
10,"WT-C","GIWO","20-40",1,"",1,0,"SW"
10,"WT-C","GTGR","FT",10,"",1,0,"N "
10,"WT-C","NOMO","20-40",1,"",1,0,"S "
11,"SO-W","ANHU","10-20",1,"",1,0,"E "
11,"SO-W","HOSP","10-20",5,"",0,1,"W "
11,"SO-W","MODO","20-40",3,"",1,0,"N "
11,"SO-W","GTGR","10-20",2,"",0,1,"NE"
11,"SO-W","GIWO","20-40",1,"",1,0,"SE"
11,"SO-W","HOSP","20-40",3,"",0,1,"NW"
11,"SO-W","GTGR","FT",1,"",1,0,"W "
11,"SO-W","HOFI","10-20",2,"",1,0,"E "
11,"SO-W","EUST","20-40",2,"",1,0,"N "
11,"SO-W","INDO","20-40",2,"",0,1,"SE"
11,"SO-W","CACW",">40",1,"",0,1,"SE"
11,"SO-W","HOSP","10-20",4,"",1,0,"N "
11,"SO-W","ABTO","10-20",2,"",1,0,"N "
12,"PA-N","RODO","10-20",3,"",1,0,"W "
12,"PA-N","GIWO",">40",1,"",0,1,"N "
12,"PA-N","HOSP","10-20",3,"",1,0,"W "
12,"PA-N","WEME","10-20",5,"",1,0,"E "
12,"PA-N","EUST","10-20",2,"",1,0,"E "
12,"PA-N","GIWO","20-40",2,"",1,0,"E "
12,"PA-N","EUST","20-40",1,"",1,0,"N "
12,"PA-N","NOMO","20-40",1,"",1,0,"NW"
12,"PA-N","MODO","5-10",1,"",1,0,"W "
12,"PA-N","HOSP","10-20",4,"",0,1,"S "
12,"PA-N","INDO","10-20",2,"",1,0,"SW"
12,"PA-N","CORA",">40",2,"on Mariconi street sign",1,0,"S "
12,"PA-N","GTGR","20-40",3,"next to park",1,0,"S "
12,"PA-N","RODO","FT",12,"",1,0,"S "
12,"PA-N","NOHA","FT",1,"flyover caused the flush of 12 WEME",1,0,"W "
12,"PA-N","WEME","20-40",12,"flushed by flyover of NOHA",1,0,"S "
12,"PA-N","CACW","20-40",1,"",1,0,"S "
13,"WR-S","RODO","5-10",2,"",1,0,"E "
13,"WR-S","RODO","10-20",3,"",1,0,"S "
13,"WR-S","RODO","5-10",3,"",1,0,"N "
13,"WR-S","HOSP","20-40",8,"",1,0,"S "
13,"WR-S","VERD","10-20",1,"",1,0,"S "
13,"WR-S","RODO","20-40",1,"",1,0,"E "
13,"WR-S","MODO","10-20",5,"2 seen, 3 heard",1,1,"E "
13,"WR-S","HOSP","FT",3,"",1,0,"N "
13,"WR-S","HOSP","10-20",2,"",1,0,"E "
13,"WR-S","RODO","20-40",2,"",1,0,"SE"
13,"WR-S","HOFI","20-40",2,"",0,1,"SE"
13,"WR-S","RODO","FT",3,"",1,0,"SE"
13,"WR-S","MODO","FT",2,"",1,0,"NW"
13,"WR-S","MODO","FT",3,"",1,0,"NE"
13,"WR-S","ANHU","10-20",1,"",1,0,"SE"
14,"DW-N","HOFI","FT",8,"",1,0,"S "
14,"DW-N","HOSP","10-20",7,"",1,0,"SW"
14,"DW-N","MODO","20-40",2,"",1,0,"W "
14,"DW-N","EUST","20-40",3,"",1,0,"S "
14,"DW-N","MODO","FT",4,"",1,0,"E "
14,"DW-N","CBTH",">40",1,"",1,0,"W "
14,"DW-N","GIWO","20-40",1,"",0,1,"S "
14,"DW-N","MODO","20-40",3,"",1,0,"N "
14,"DW-N","HOSP","10-20",3,"",1,0,"NW"
14,"DW-N","RODO","20-40",2,"",1,0,"N "
14,"DW-N","ANHU","10-20",1,"",1,0,"S "
14,"DW-N","HOFI","20-40",3,"",1,0,"S "
14,"DW-N","NOMO","20-40",1,"",1,0,"S "
14,"DW-N","MODO","FT",2,"",1,0,"SE"
14,"DW-N","CBTH","20-40",1,"",1,0,"S "
14,"DW-N","ORJU","10-20",1,"actually this was listed as DEJU, not ORJU",1,0,"E "
14,"DW-N","MODO","5-10",2,"",1,0,"S "
14,"DW-N","NOFL","20-40",1,"",1,0,"W "
14,"DW-N","PYRR","10-20",1,"",1,0,"S "
15,"CA-C","KILL","20-40",2,"",1,0,"NW"
15,"CA-C","KILL","20-40",1,"",0,1,"SW"
15,"CA-C","WEME","20-40",8,"",1,0,"NW"
15,"CA-C","GIWO",">40",1,"",1,0,"SW"
15,"CA-C","CACW","10-20",1,"",1,0,"E "
15,"CA-C","GTGR","20-40",2,"",0,1,"NE"
15,"CA-C","HOSP","10-20",4,"",1,0,"E "
15,"CA-C","HOSP",">40",7,"",0,1,"S "
15,"CA-C","GIWO","20-40",1,"",0,1,"SW"
15,"CA-C","CBTH","10-20",1,"",1,0,"E "
15,"CA-C","HOFI","20-40",3,"",1,0,"S "
15,"CA-C","CANW","20-40",1,"",0,1,"S "
15,"CA-C","NOMO","10-20",1,"",1,0,"S "
15,"CA-C","EUST","20-40",2,"",1,0,"SE"
15,"CA-C","HOSP","10-20",4,"",1,0,"NE"
15,"CA-C","VERD","5-10",1,"",1,0,"N "
15,"CA-C","RODO","20-40",2,"",1,0,"E "
15,"CA-C","AUWA",">40",3,"",0,1,"S "
3,"WR-C","WEME","10-20",2,"",1,1,"NW"
3,"WR-C","EUST",">40",20,"",1,0,"SW"
3,"WR-C","HOSP",">40",4,"",1,0,"SW"
3,"WR-C","RODO",">40",1,"",1,0,"N "
3,"WR-C","MODO",">40",7,"",1,0,"NE"
3,"WR-C","AUWA","20-40",1,"",0,1,"SW"
3,"WR-C","HOSP",">40",12,"",0,1,"NE"
3,"WR-C","RODO",">40",10,"",1,0,"NE"
3,"WR-C","HOSP",">40",10,"",0,1,"E "
3,"WR-C","GIFL",">40",1,"",1,0,"N "
3,"WR-C","MODO","FT",9,"",1,0,"W "
3,"WR-C","VERD",">40",1,"",0,1,"N "
16,"PA-S","HOSP",">40",10,"",0,1,"SE"
16,"PA-S","HOSP","FT",4,"",1,0,"S "
16,"PA-S","HOFI","10-20",2,"",0,1,"SE"
16,"PA-S","ANHU","10-20",1,"",0,1,"E "
16,"PA-S","EUST","20-40",1,"",0,1,"S "
16,"PA-S","AUWA","FT",1,"",1,1,"S "
16,"PA-S","HOSP","20-40",4,"",0,1,"NE"
4,"SO-C","GIFL","FT",1,"",1,0,"N "
4,"SO-C","ORJU","10-20",15,"",1,1,"S "
4,"SO-C","GIFL","20-40",2,"one seen only not heard",1,1,"S "
4,"SO-C","SCJU","10-20",2,"",1,1,"S "
4,"SO-C","GIWO","10-20",1,"",1,0,"NE"
4,"SO-C","CBTH",">40",1,"",0,1,"SE"
4,"SO-C","HOFI","5-10",6,"",1,1,"NW"
4,"SO-C","NOMO","20-40",1,"",1,0,"S "
17,"CH-E","GTGR","20-40",2,"",1,1,"SE"
17,"CH-E","HOSP","20-40",6,"",0,1,"N "
17,"CH-E","GTGR","FT",2,"",1,0,"N "
17,"CH-E","GTGR","FT",1,"",1,0,"E "
17,"CH-E","MODO","FT",1,"",1,0,"NE"
17,"CH-E","GTGR","10-20",2,"",1,1,"NW"
5,"CG-C","ANHU","20-40",1,"",1,1,"SW"
5,"CG-C","HOSP",">40",20,"",0,1,"NE"
5,"CG-C","HOSP",">40",12,"",0,1,"SE"
5,"CG-C","NOMO","20-40",1,"",0,1,"NE"
5,"CG-C","GIWO",">40",1,"",0,1,"NW"
5,"CG-C","HOFI","20-40",6,"",0,1,"W "
5,"CG-C","NOMO","20-40",1,"",0,1,"S "
5,"CG-C","INDO","FT",3,"",1,0,"N "
5,"CG-C","AUWA","20-40",2,"",0,1,"NE"
18,"WT-E","VERD","5-10",1,"",1,1,"E "
18,"WT-E","ANHU","FT",1,"",1,1,"N "
18,"WT-E","HOSP","FT",1,"",1,0,"N "
18,"WT-E","INDO","20-40",3,"",0,1,"S "
18,"WT-E","HOSP","20-40",12,"",0,1,"SW"
18,"WT-E","AUWA","10-20",2,"",1,1,"SW"
18,"WT-E","INDO","10-20",2,"",0,1,"SE"
18,"WT-E","VERD","20-40",1,"",1,1,"N "
22,"AT-W","HOSP","20-40",4,"",0,1,"W "
22,"AT-W","EUST","20-40",3,"",1,0,"SW"
22,"AT-W","GIWO","20-40",1,"",0,1,"N "
22,"AT-W","VERD","20-40",1,"",0,1,"W "
22,"AT-W","MODO","20-40",2,"",1,0,"E "
22,"AT-W","HOFI","FT",3,"",1,0,"W "
22,"AT-W","RODO",">40",3,"",1,0,"NW"
22,"AT-W","MODO","20-40",4,"",1,0,"NE"
22,"AT-W","NOMO","20-40",1,"",1,0,"NE"
6,"AT-C","AUWA","10-20",2,"",1,0,"S "
6,"AT-C","CBTH","10-20",1,"",1,0,"W "
6,"AT-C","HOFI","10-20",4,"",0,1,"NE"
6,"AT-C","GIWO","10-20",1,"",0,1,"W "
6,"AT-C","GTGR","20-40",1,"",1,0,"S "
6,"AT-C","VERD","10-20",1,"",1,0,"S "
6,"AT-C","EUST","20-40",4,"",1,0,"SW"
6,"AT-C","ANHU","10-20",1,"",1,0,"NE"
6,"AT-C","AUWA","5-10",1,"",1,0,"NE"
6,"AT-C","GTGR","20-40",2,"",0,1,"N "
6,"AT-C","INDO","20-40",2,"",0,1,"NW"
6,"AT-C","GTGR","5-10",1,"",1,0,"S "
6,"AT-C","ORJU","10-20",4,"actually says DEJU, not ORJU",1,0,"W "
6,"AT-C","ANHU","10-20",1,"",1,0,"W "
6,"AT-C","HOSP","20-40",4,"",1,0,"W "
6,"AT-C","CACW","20-40",1,"",0,1,"E "
6,"AT-C","BRCR","20-40",1,"",1,0,"N "
6,"AT-C","ORJU","10-20",2,"actually says DEJU, not ORJU",1,0,"E "
6,"AT-C","RCKI","20-40",1,"",1,0,"W "
6,"AT-C","COHU","10-20",2,"",1,0,"E "
6,"AT-C","ORJU","20-40",7,"actually says DEJU, not ORJU",1,0,"S "
23,"AT-N","RODO","FT",4,"",1,0,"W "
23,"AT-N","HOSP","10-20",3,"",1,0,"S "
23,"AT-N","HOSP","20-40",5,"",0,1,"N "
23,"AT-N","HOSP","10-20",6,"",1,0,"E "
23,"AT-N","NOMO","20-40",1,"",1,0,"S "
23,"AT-N","MODO","20-40",2,"",1,0,"SW"
23,"AT-N","INDO","20-40",5,"",1,0,"W "
23,"AT-N","MODO","20-40",4,"",1,0,"N "
23,"AT-N","INDO","10-20",3,"",1,0,"N "
23,"AT-N","HOFI","20-40",3,"",0,1,"NW"
23,"AT-N","GIWO","20-40",1,"",0,1,"NE"
23,"AT-N","RODO","20-40",3,"",1,0,"S "
23,"AT-N","GIWO","5-10",1,"",1,0,"E "
23,"AT-N","EUST","20-40",5,"",0,1,"E "
23,"AT-N","EUST","20-40",2,"",1,0,"N "
23,"AT-N","HOSP","5-10",3,"",1,0,"E "
23,"AT-N","HOFI","10-20",1,"",0,1,"SE"
19,"AT-S","HOSP","10-20",4,"HOS",1,0,"W "
19,"AT-S","HOSP","FT",2,"",1,0,"E "
19,"AT-S","HOSP","20-40",5,"",0,1,"NE"
19,"AT-S","EUST","10-20",2,"",1,0,"E "
19,"AT-S","ORJU",">40",4,"actually says DEJU, not ORJU;  at edge of park",1,0,"N "
19,"AT-S","ANHU","20-40",1,"",1,0,"N "
19,"AT-S","HOSP","20-40",3,"",1,0,"SW"
19,"AT-S","RODO",">40",4,"",1,0,"S "
19,"AT-S","HOFI","20-40",2,"",0,1,"SW"
19,"AT-S","GIWO","20-40",1,"",0,1,"E "
19,"AT-S","MODO","20-40",1,"",1,0,"NE"
19,"AT-S","HOSP","5-10",2,"",1,0,"W "
19,"AT-S","EUST","FT",3,"",1,0,"W "
19,"AT-S","EUST","20-40",1,"",1,0,"N "
19,"AT-S","ORJU","20-40",2,"actually says DEJU, not ORJU",1,0,"NE"
19,"AT-S","MODO","FT",2,"",1,0,"E "
19,"AT-S","GIWO",">40",1,"in park",1,0,"N "
19,"AT-S","ORJU","10-20",1,"actually says DEJU, not ORJU",1,0,"SE"
19,"AT-S","NOMO","20-40",2,"",0,1,"SE"
19,"AT-S","MODO","10-20",2,"",1,0,"SE"
20,"CA-E","VERD","20-40",1,"",0,1,"W "
20,"CA-E","CACW","20-40",1,"",0,1,"NW"
20,"CA-E","GTGR","5-10",3,"",1,0,"S "
20,"CA-E","GIWO","20-40",1,"",0,1,"NW"
20,"CA-E","VERD","5-10",1,"",1,0,"W "
20,"CA-E","HOSP","10-20",3,"",1,0,"N "
20,"CA-E","HOSP","20-40",4,"",1,0,"E "
20,"CA-E","RODO","FT",3,"",1,0,"W "
20,"CA-E","MODO","10-20",2,"",1,0,"N "
20,"CA-E","AUWA","10-20",1,"",1,0,"W "
20,"CA-E","HOSP","10-20",2,"",1,0,"NW"
20,"CA-E","GIWO","20-40",1,"",0,1,"SW"
20,"CA-E","HOFI","20-40",3,"",0,1,"NE"
20,"CA-E","CANW","20-40",1,"",1,0,"W "
24,"CA-N","HOSP","10-20",2,"",1,0,"W "
24,"CA-N","MODO","10-20",3,"",1,0,"E "
24,"CA-N","HOSP",">40",3,"",0,1,"SW"
24,"CA-N","VERD","20-40",1,"",1,0,"W "
24,"CA-N","CACW","20-40",2,"",1,0,"W "
24,"CA-N","CANW","20-40",1,"",0,1,"W "
24,"CA-N","WCSP",">40",5,"",0,1,"W "
24,"CA-N","AUWA","20-40",2,"",1,0,"E "
24,"CA-N","BGGN","20-40",1,"",0,1,"NW"
21,"CA-S","AUWA","10-20",1,"",1,0,"NW"
21,"CA-S","AUWA","10-20",2,"",1,0,"S "
21,"CA-S","HOSP","20-40",5,"",0,1,"SE"
21,"CA-S","CACW","20-40",2,"",0,1,"N "
21,"CA-S","VERD","10-20",1,"",1,0,"NW"
21,"CA-S","MODO","FT",2,"",1,0,"NE"
21,"CA-S","COHU","10-20",2,"",1,0,"SE"
