Code	Indicator Name	Short definition	Long definition	Source	Topic	Periodicity	Aggregation method	Limitations and exceptions	General comments
GCI.7THPILLAR.XQ	7th pillar: Labor market efficiency	This indicator is a derived from the following indicators: (a) Cooperation in labor-employer relations (b) Flexibility of wage determination (c) Rigidity of employment (d) Hiring and firing practices (e) Firing costs  (f) Pay and productivity (g) Reliance on professional management (g) Brain drain and (h) Female participation in labor force.	This indicator is a derived from the following indicators: - (a) Cooperation in labor-employer relations (b) Flexibility of wage determination (c) Rigidity of employment (d) Hiring and firing practices (e) Firing costs  (f) Pay and productivity (g) Reliance on professional management (g) Brain drain and (h) Female participation in labor force.	The Global Competitiveness Report: various issues (http://gcr.weforum.org/).	Public Sector: Policy & institutions	Annual			Two types of data are used in the GCI: (a) Survey data:These data are the results drawn from the World Economic Forum’s Executive Opinion Survey. (b) Hard data: These data come from indicators obtained from a variety of sources.  
GCI.8THPILLAR.XQ	8th pillar: Financial market sophistication	This indicator is a derived from the following indicators: (a) Availability of financial services (b) Affordability of financial services  (c) Financing through local equity market (d) Ease of access to loans (e) Venture capital availability  (f) Restriction on capital flows (g) Soundness of banks (h) Regulation of securities exchanges and (i) Legal rights index.	This indicator is a derived from the following indicators: - (a) Availability of financial services (b) Affordability of financial services  (c) Financing through local equity market (d) Ease of access to loans (e) Venture capital availability  (f) Restriction on capital flows (g) Soundness of banks (h) Regulation of securities exchanges and (i) Legal rights index.	The Global Competitiveness Report: various issues (http://gcr.weforum.org/).	Public Sector: Policy & institutions	Annual			Two types of data are used in the GCI: (a) Survey data:These data are the results drawn from the World Economic Forum’s Executive Opinion Survey. (b) Hard data: These data come from indicators obtained from a variety of sources.  
GCI.9THPILLAR.XQ	9th pillar: Techonological readiness	This indicator is a derived from the following indicators: (a) Availability of latest technologies (b) Firm-level technology absorption (c) FDI and technology transfer (d) Internet users  (f) Broadband Internet subscriptions and  (g) Internet bandwidth.	This indicator is a derived from the following indicators: - (a) Availability of latest technologies (b) Firm-level technology absorption (c) FDI and technology transfer (d) Internet users  (f)Broadband Internet subscriptions and  (g) Internet bandwidth.	The Global Competitiveness Report: various issues (http://gcr.weforum.org/).	Public Sector: Policy & institutions	Annual			Two types of data are used in the GCI: (a) Survey data:These data are the results drawn from the World Economic Forum’s Executive Opinion Survey. (b) Hard data: These data come from indicators obtained from a variety of sources.  
IC.FRM.FINA.ZS	Access to finance (% of firms identifying this as a major constraint)	Percentage of firms identifying access/cost of finance as a major constraint. The computation of the indicator is based on the rating of the obstacle as a potential constraint to the current operations of the establishment.  	Percentage of firms identifying access/cost of finance as a major constraint. The computation of the indicator is based on the rating of the obstacle as a potential constraint to the current operations of the establishment.  	World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).	Private Sector & Trade: Business environment	Annual			
IC.CNS.LAND.ZS	Access to Land (% of managers surveyed ranking this as a major constraint)	Is the share of senior managers who ranked access to land as a major or very severe constraint.  	Is the share of senior managers who ranked access to land as a major or very severe constraint.  	World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).	Private Sector & Trade: Business environment	Annual			
DT.DTA.OADJ.CD	Adjustment to Arrears	Adjustment to Arrears. 	Adjustment to Arrears. 	World Bank country economists.	Economic Policy & Debt: External debt: Debt outstanding	Annual			
GB.TDS.ABRD.CN	Adjustments to foreign scheduled debt service (current LCU)	Debt is the entire stock of direct government fixed-term contractual obligations to others outstanding on a particular date such as money deposits, securities, shares and loans.  Data are in current local currency.  	Debt is the entire stock of direct government fixed-term contractual obligations to others outstanding on a particular date such as money deposits, securities, shares and loans.  Data are in current local currency.  	World Bank country economists	Public Sector: Government finance: Expense	Annual			
GB.AMA.ABRD.CN	Adjustments to foreign scheduled principal repayments (current LCU)	Principal repayments are actual amounts of principal (amortization) paid in foreign currency, goods, or services in the year specified.  	Principal repayments are actual amounts of principal (amortization) paid in foreign currency, goods, or services in the year specified.  	World Bank country economists	Public Sector: Government finance: Deficit & financing	Annual			
DT.TDA.DECT.CD	Adjustments to scheduled debt service (current US$)	Adjustment to scheduled debt service equals debt service not paid plus debt service arrears reductions and prepayments. Data are denominated in U.S. dollars.  	Adjustment to scheduled debt service equals debt service not paid plus debt service arrears reductions and prepayments. Data are denominated in U.S. dollars.  	World Bank, Global Development Finance.	Economic Policy & Debt: External debt: Debt service	Annual			
DT.INA.DECT.CD	Adjustments to scheduled interest (current US$)	Interest due is actual amounts of interest due in foreign currency, goods, or services in the year specified.  Interest payments are actual amounts of interest paid in foreign currency, goods, or services in the year specified. This item includes interest paid on long-term debt, IMF charges, and interest paid on short-term debt. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents and repayable in foreign currency, goods, or services. Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt.  Data are in current U.S. dollars.  	Interest due is actual amounts of interest due in foreign currency, goods, or services in the year specified.  Interest payments are actual amounts of interest paid in foreign currency, goods, or services in the year specified. This item includes interest paid on long-term debt, IMF charges, and interest paid on short-term debt. Long-term external debt is defined as debt that has an original or extended maturity of more than one year and that is owed to nonresidents and repayable in foreign currency, goods, or services. Short-term external debt is defined as debt that has an original maturity of one year or less. Available data permit no distinction between public and private nonguaranteed short-term debt.  Data are in current U.S. dollars.  	World Bank, Global Development Finance.	Economic Policy & Debt: External debt: Interest	Annual			
SP.POP.DPND	Age dependency ratio (% of working-age population)	Age dependency ratio is the ratio of dependents--people younger than 15 or older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.	Age dependency ratio is the ratio of dependents--people younger than 15 or older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.	World Bank staff estimates from various sources including census reports, the United Nations Population Division's World Population Prospects, national statistical offices, household surveys conducted by national agencies, and Macro International.	Health: Population: Dynamics	Annual	Weighted average	Annual data series are interpolated from 5-year period data. Therefore they may not reflect real events as much as observed data.	
SP.POP.DPND.OL	Age dependency ratio, old (% of working-age population)	Age dependency ratio, old, is the ratio of older dependents--people older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.	Age dependency ratio, old, is the ratio of older dependents--people older than 64--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.	World Bank staff estimates from various sources including census reports, the United Nations Population Division's World Population Prospects, national statistical offices, household surveys conducted by national agencies, and Macro International.	Health: Population: Dynamics	Annual	Weighted average	Annual data series are interpolated from 5-year period data. Therefore they may not reflect real events as much as observed data.	
SP.POP.DPND.YG	Age dependency ratio, young (% of working-age population)	Age dependency ratio, young, is the ratio of younger dependents--people younger than 15--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.	Age dependency ratio, young, is the ratio of younger dependents--people younger than 15--to the working-age population--those ages 15-64. Data are shown as the proportion of dependents per 100 working-age population.	World Bank staff estimates from various sources including census reports, the United Nations Population Division's World Population Prospects, national statistical offices, household surveys conducted by national agencies, and Macro International.	Health: Population: Dynamics	Annual	Weighted average	Annual data series are interpolated from 5-year period data. Therefore they may not reflect real events as much as observed data.	
IC.FRM.AGE.YR	Age of firm (years)	Age of the firm based on the year in which the firm began operations.	Age of the firm based on the year in which the firm began operations.	World Bank, Enterprise Surveys (http://www.enterprisesurveys.org/).	Private Sector & Trade: Business environment	Annual			
AG.LND.IRIG.HA.AG	Agricultural area irrigated	Agricultural area irrigated, part of the full or partial control irrigated agricultural land which is actually irrigated in a given year. Often, part of the equipped area is not irrigated for various reasons, such as lack of water, absence of farmers, land degradation, damage, organisational problems etc. 	Agricultural area irrigated, part of the full or partial control irrigated agricultural land which is actually irrigated in a given year. Often, part of the equipped area is not irrigated for various reasons, such as lack of water, absence of farmers, land degradation, damage, organisational problems etc. 	Food and Agriculture Organization, electronic files and web site.	Environment: Land use	Annual			
