Calendar_Year,Sector_General,Sector_Detail1,Sector_Detail2,Sector_GPC,Sector_GPC_Detail,Commodity_Type,Emissions_mtCO2e,Biogenic_Emissions_mtCO2e,Quantity,Quantity_Units
2000,Transportation,Public Transportation,Bus - Caltrain,Transportation,On-Road Transportation - Caltrain Buses,CNG,0,0,0,gallons
2000,Buildings,Commercial & Industrial,PG&E District Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,0,0,0,Therm
2000,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,B100,0,0,0,gallons
2000,Buildings,Residential,CleanPowerSF Residential Green Product,Stationary,Residential Buildings,Electricity,0,0,0,kWh
2000,Buildings,Residential,CleanPowerSF Residential SuperGreen Product,Stationary,Residential Buildings,Electricity,0,0,0,kWh
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,B5,0,0,0,gallons
2000,Buildings,Commercial & Industrial,CleanPowerSF Commercial Green Product Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0,0,0,kWh
2000,Buildings,Commercial & Industrial,PG&E District,Stationary,Commercial & Institutional Buildings and Facilities,Natural Gas,0,0,0,Therm
2000,Buildings,Commercial & Industrial,PG&E District Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,0,0,0,Therm
2000,Buildings,Commercial & Industrial,CleanPowerSF Commercial SuperGreen Product,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0,0,0,kWh
2000,Buildings,Commercial & Industrial,PG&E District Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0,0,0,kWh
2000,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,B5,0,0,0,gallons
2000,Transportation,Public Transportation,Bus - Golden Gate Transit,Transportation,On-Road Transportation - Golden Gate Transit Buses,Renewable Diesel,0,0,0,gallons
2000,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,Renewable Diesel,0,0,0,gallons
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Renewable Diesel,0,0,0,gallons
2000,Transportation,Diesel - Ships and Boats (non-Ferry),Diesel - Ships and Boats (non-Ferry),Transportation,Waterborne Navigation - non-Ferry,Diesel,242457.18,0,0,mtCO2e
2000,Agriculture,Agriculture/Farming,Agriculture/Farming,"Agriculture, Forestry and Other Land Use",Land,Animal Waste,68745.37,0,0,mtCO2e
2000,Buildings,Commercial & Industrial,Additional Stationary Sources,Stationary,Energy Industries,Gas Oil,70.5,0,0,mtCO2e
2000,Buildings,Residential,Other Residential Fuel Usage,Stationary,Commercial & Institutional Buildings and Facilities,"LPGas, Liquid fuel, solid fuel",23655,0,0,mtCO2e
2000,Agriculture,Agriculture/Farming,Agriculture/Farming,Stationary,"Agriculture, Forestry and Fishing Activities",Other Unspecified Fuels,109,0,0,mtCO2e
2000,Transportation,Off-Road Equipment,Off-Road Equipment,Stationary,Non-specified Sources,Other Unspecified Fuels,177572.23,0,0,mtCO2e
2000,Agriculture,Agriculture/Farming,Agriculture/Farming,"Agriculture, Forestry and Other Land Use",Land,Other Unspecified Fuels,5346.9,0,0,mtCO2e
2000,Buildings,Commercial & Industrial,Steam - NRG,Stationary,Commercial & Institutional Buildings and Facilities,Steam,64223.61,0,12101591.25,Therm
2000,Wastewater,Wastewater (Fugitive),Wastewater (Fugitive),Waste,Wastewater Treatment and Discharge,Fugitive Emissions,3712.09,0,9769.31,Avg kgN/day
2000,Landfilled Organics,Landfilled Organics,Landfilled Organics,Waste,Solid Waste Disposal,Solid Waste,480406.86,0,872731,tons
2000,Transportation,Cars & Trucks,Cars & Trucks,Transportation,On-road Transportation - Cars and Trucks,Gasoline,2205904.16,0,3880000000,miles
2000,Wastewater,Wastewater (Process),Wastewater (Process),Waste,Wastewater Treatment and Discharge,Process Emissions,823.45,0,773312,people
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Diesel,10570.82,0,289173.69,gallons
2000,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,Diesel,53781.75,0,5267362,gallons
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Propane,81.56,0,13782.73,gallons
2000,Transportation,Public Transportation,Bus - Caltrain,Transportation,On-Road Transportation - Caltrain Buses,Diesel,58.44,0,5721.52,gallons
2000,Transportation,Public Transportation,Rail - Caltrain,Transportation,Railways - Caltrain,Diesel,8536.91,0,841071,gallons
2000,Transportation,Public Transportation,Ferry,Transportation,Waterborne Navigation - Ferry,Diesel,99967.83,0,9849000,gallons
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,CNG,2340.36,0,375112.62,gallons
2000,Transportation,Public Transportation,Bus - Caltrain,Transportation,On-Road Transportation - Caltrain Buses,Gasoline,242.77,0,27607.58,gallons
2000,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Gasoline,21006.28,0,2333697.4,gallons
2000,Transportation,Public Transportation,Bus - Golden Gate Transit,Transportation,On-Road Transportation - Golden Gate Transit Buses,Diesel,3320.19,0,325054.5,gallons
2000,Buildings,Residential,PG&E Residential,Stationary,Residential Buildings,Natural Gas,835614.78,0,159290054.7,Therm
2000,Municipal,Municipal Buildings,PG&E Municipal Buildings,Stationary,Commercial & Institutional Buildings and Facilities,Natural Gas,131379.36,0,28621672.74,Therm
2000,Buildings,Commercial & Industrial,PG&E Commercial & Industrial,Stationary,Commercial & Institutional Buildings and Facilities,Natural Gas,527726.83,0,101493370.3,Therm
2000,Buildings,Commercial & Industrial,PG&E Commercial & Industrial Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,166403.52,0,2750470.34,Therm
2000,Buildings,Residential,PG&E Residential Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,235847.35,0,4316760.48,Therm
2000,Municipal,Municipal Buildings,PG&E Municipal Buildings Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,37081.05,0,775647.33,Therm
2000,Buildings,Commercial & Industrial,PG&E Commercial & Industrial Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,111140.36,0,1837030,Therm
2000,Municipal,Municipal Buildings,PG&E Municipal Buildings Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,24766.31,0,518052.28,Therm
2000,Buildings,Residential,PG&E Residential Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,157521.66,0,2883149.99,Therm
2000,Transportation,Public Transportation,Rail - BART,Transportation,Railways - Bay Area Rapid Transit Traction,Electricity,91033.98,0,268130030,kWh
2000,Buildings,Residential,PG&E Residential Electric Power Transmission & Distribution Loss,Stationary,Residential Buildings,Electricity,59620.46,0,149259251.2,kWh
2000,Buildings,Residential,PG&E Residential,Stationary,Residential Buildings,Electricity,586411.3,0,1468075195,kWh
2000,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,Electricity,6448.38,0,95047340,kWh
2000,Buildings,Commercial & Industrial,PG&E Commercial & Industrial Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,120516.23,0,322769519.6,kWh
2000,Buildings,Direct Access,PG&E Direct Access Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,8947.5,0,17020244.23,kWh
2000,Buildings,Commercial & Industrial,PG&E Commercial & Industrial,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,1185366.33,0,3174677091,kWh
2000,Buildings,Direct Access,PG&E Direct Access,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,161653.12,0,307502154.1,kWh
2000,Municipal,Municipal Buildings,SFPUC Municipal Buildings,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,63646.59,0,938133000,kWh
2000,Wastewater,Wastewater (Digester Gas),Wastewater (Digester Gas),Stationary,Commercial & Institutional Buildings and Facilities,Sludge gas,97.02,16917.79,310690.25,MMBTU
2005,Buildings,Commercial & Industrial,CleanPowerSF Commercial Green Product,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0,0,0,kWh
2005,Buildings,Commercial & Industrial,PG&E District,Stationary,Commercial & Institutional Buildings and Facilities,Natural Gas,0,0,0,Therm
2005,Buildings,Commercial & Industrial,PG&E District Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0,0,0,kWh
2005,Buildings,Residential,CleanPowerSF Residential Green Product Electric Power Transmission & Distribution Loss,Stationary,Residential Buildings,Electricity,0,0,0,kWh
2005,Buildings,Residential,CleanPowerSF Residential Green Product,Stationary,Residential Buildings,Electricity,0,0,0,kWh
2005,Municipal,Municipal Buildings,PG&E Municipal Buildings,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0,0,0,kWh
2005,Buildings,Commercial & Industrial,PG&E District Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,0,0,0,Therm
2005,Buildings,Commercial & Industrial,PG&E District,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0,0,0,kWh
2005,Buildings,Commercial & Industrial,CleanPowerSF Commercial Green Product Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0,0,0,kWh
2005,Buildings,Commercial & Industrial,PG&E District Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,0,0,0,Therm
2005,Municipal,Municipal Buildings,PG&E Municipal Buildings Electric Power Transmission & Distribution Loss,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0,0,0,kWh
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Renewable CNG,0,0,0,gallons
2005,Buildings,Residential,CleanPowerSF Residential SuperGreen Product,Stationary,Residential Buildings,Electricity,0,0,0,kWh
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,B5,0,0,0,gallons
2005,Buildings,Commercial & Industrial,CleanPowerSF Commercial SuperGreen Product,Stationary,Commercial & Institutional Buildings and Facilities,Electricity,0,0,0,kWh
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,B20,0,0,0,gallons
2005,Transportation,Public Transportation,Rail - BART,Transportation,Railways - Bay Area Rapid Transit PG&E,Electricity,0,0,0,kWh
2005,Transportation,Public Transportation,Rail - BART,Transportation,Railways - Bay Area Rapid Transit Other Power Contracts,Electricity,0,0,0,kWh
2005,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,B5,0,0,0,gallons
2005,Transportation,Public Transportation,Bus - Caltrain,Transportation,On-Road Transportation - Caltrain Buses,CNG,0,0,0,gallons
2005,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,B20,0,0,0,gallons
2005,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,B100,0,0,0,gallons
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Renewable Diesel,0,0,0,gallons
2005,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,Renewable Diesel,0,0,0,gallons
2005,Transportation,Public Transportation,Bus - Golden Gate Transit,Transportation,On-Road Transportation - Golden Gate Transit Buses,Renewable Diesel,0,0,0,gallons
2005,Buildings,Commercial & Industrial,Additional Stationary Sources,Stationary,Energy Industries,Gas Oil,70.5,0,0,mtCO2e
2005,Transportation,Diesel - Ships and Boats (non-Ferry),Diesel - Ships and Boats (non-Ferry),Transportation,Waterborne Navigation - non-Ferry,Diesel,273327.12,0,0,mtCO2e
2005,Agriculture,Agriculture/Farming,Agriculture/Farming,Stationary,"Agriculture, Forestry and Fishing Activities",Other Unspecified Fuels,109,0,0,mtCO2e
2005,Agriculture,Agriculture/Farming,Agriculture/Farming,"Agriculture, Forestry and Other Land Use",Land,Animal Waste,75903.37,0,0,mtCO2e
2005,Agriculture,Agriculture/Farming,Agriculture/Farming,"Agriculture, Forestry and Other Land Use",Land,Other Unspecified Fuels,5346.9,0,0,mtCO2e
2005,Transportation,Off-Road Equipment,Off-Road Equipment,Stationary,Non-specified Sources,Other Unspecified Fuels,150950.47,0,0,mtCO2e
2005,Buildings,Residential,Other Residential Fuel Usage,Stationary,Commercial & Institutional Buildings and Facilities,"LPGas, Liquid fuel, solid fuel",23655,0,0,mtCO2e
2005,Wastewater,Wastewater (Fugitive),Wastewater (Fugitive),Waste,Wastewater Treatment and Discharge,Fugitive Emissions,3641.13,0,9582.57,Avg kgN/day
2005,Wastewater,Wastewater (Process),Wastewater (Process),Waste,Wastewater Treatment and Discharge,Process Emissions,807.71,0,780187,people
2005,Buildings,Commercial & Industrial,Steam - NRG,Stationary,Commercial & Institutional Buildings and Facilities,Steam,64223.61,0,12101591.25,Therm
2005,Transportation,Cars & Trucks,Cars & Trucks,Transportation,On-road Transportation - Cars and Trucks,Gasoline,2053822.63,0,3777853741,miles
2005,Landfilled Organics,Landfilled Organics,Landfilled Organics,Waste,Solid Waste Disposal,Solid Waste,365526.16,0,664033,tons
2005,Transportation,Public Transportation,Rail - Caltrain,Transportation,Railways - Caltrain,Diesel,13729.48,0,1352652,gallons
2005,Transportation,Public Transportation,Bus - Caltrain,Transportation,On-Road Transportation - Caltrain Buses,Gasoline,242.77,0,27607.58,gallons
2005,Transportation,Public Transportation,Bus - Golden Gate Transit,Transportation,On-Road Transportation - Golden Gate Transit Buses,Diesel,3320.19,0,325054.5,gallons
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Diesel,10615.79,0,290403.9,gallons
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,CNG,2515.97,0,403258.91,gallons
2005,Transportation,Public Transportation,Bus - Caltrain,Transportation,On-Road Transportation - Caltrain Buses,Diesel,58.44,0,5721.52,gallons
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Gasoline,20488.34,0,2276156.86,gallons
2005,Municipal,Municipal Fleet,Municipal Fleet,Transportation,On-road Transportation - Municipal Fleet,Propane,87.68,0,14816.91,gallons
2005,Transportation,Public Transportation,MUNI,Transportation,On-road Transportation - MUNI Buses,Diesel,52188.23,0,5111293,gallons
2005,Transportation,Public Transportation,Ferry,Transportation,Waterborne Navigation - Ferry,Diesel,87646.93,0,8635124.17,gallons
2005,Buildings,Commercial & Industrial,PG&E Commercial & Industrial,Stationary,Commercial & Institutional Buildings and Facilities,Natural Gas,506726.44,0,97150960.36,Therm
2005,Buildings,Residential,PG&E Residential,Stationary,Residential Buildings,Natural Gas,771444.54,0,148260510.3,Therm
2005,Municipal,Municipal Buildings,PG&E Municipal Buildings,Stationary,Commercial & Institutional Buildings and Facilities,Natural Gas,122997.42,0,24895257.9,Therm
2005,Buildings,Residential,PG&E Residential Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,145424.94,0,2683515.24,Therm
2005,Buildings,Residential,PG&E Residential Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,217735.68,0,4017859.83,Therm
2005,Municipal,Municipal Buildings,PG&E Municipal Buildings Natural Gas Distribution Fugitive Emissions Downstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,23186.23,0,450604.17,Therm
2005,Municipal,Municipal Buildings,PG&E Municipal Buildings Natural Gas Distribution Fugitive Emissions Upstream Leaks,Stationary,Fugitive Emissions from Oil and Natural Gas Systems,Natural Gas,34715.3,0,674661.49,Therm
